Bigram,Frequency
илья ильич,230
спросил обломов,78
иван матвеевич,53
агафья матвеевна,50
друг друга,33
ильи ильича,26
ma tante,25
бог знает,25
ольга сергеевна,23
отвечал обломов,23
илья иванович,23
ради бога,22
михей андреич,22
спросил штольц,22
заметил обломов,21
крайней мере,20
слава богу,20
захар захар,19
андрей иваныч,19
перебил обломов,18
отвечал захар,18
илье ильичу,18
ах боже,18
продолжал обломов,17
произнес обломов,15
спросил тарантьев,15
илью ильича,14
подумал обломов,14
выборгскую сторону,14
той неделе,14
думал обломов,13
взад вперед,13
ах господи,12
casta diva,12
заметил захар,12
повторил обломов,12
захар трофимыч,11
друг другу,11
возразил обломов,11
люблю люблю,11
обломов захар,11
законное дело,11
обе руки,11
спросил илья,10
агафьи матвеевны,10
захара захар,10
отозвался захар,10
боже сохрани,10
дай бог,10
обломов молчал,9
перебил штольц,9
захар ушел,9
заговорил обломов,9
обломов глядя,9
покачал головой,9
спросил захар,9
батюшка андрей,8
возразил тарантьев,8
ивана матвеевича,8
обломов штольц,8
нечего делать,8
новую квартиру,8
захрипел захар,7
утра вечера,7
выпьем кум,7
продолжал тарантьев,7
черт знает,7
обломов остановился,7
ольга ольга,7
пятьдесят рублей,7
цель жизни,7
спросила ольга,7
обломов указывая,7
заметил штольц,6
глядя глаза,6
бог даст,6
лай собаки,6
ворчал захар,6
начал обломов,6
захар поди,6
завтра послезавтра,6
новой квартире,6
иван матвеич,6
повторил илья,6
заемное письмо,6
захар обломов,6
ехать ольге,6
обломов дай,6
дна души,6
спросила глядя,6
сквозь землю,6
лука савич,6
голову плечо,6
поди сюда,6
письмо старосты,6
заключил обломов,6
глубоким вздохом,6
штольц уехал,6
нетерпеливо спросил,6
тише тише,6
скаканье цепи,6
идеал жизни,5
изменилась лице,5
ильей ильичом,5
возразил захар,5
милая ольга,5
взял руку,5
ногу ногу,5
говори говори,5
произнес илья,5
коли ругается,5
одну минуту,5
говорила тетка,5
обломов сел,5
завтра завтра,5
другую сторону,5
захар принес,5
рублей ассигнациями,5
староста пишет,5
цвет жизни,5
говорила ольга,5
твердил захар,5
друг другом,5
повторил штольц,5
землю провалиться,5
спросил алексеев,5
угла угол,5
махнув рукой,5
пойдем пойдем,5
ветку сирени,5
ильина дня,5
едва слышно,5
ехать деревню,5
почем знаю,5
поднимая глаз,5
татьяна ивановна,5
образ жизни,5
разные стороны,5
твердил обломов,5
боку бок,5
отвечал илья,5
захар ах,5
локтем грудь,5
двести рублей,5
спросил дворник,5
старик обломов,5
прибавил обломов,5
покачала головой,5
одном месте,5
читал писал,5
тысящи яко,5
яко помене,5
изо дня,5
приходило голову,5
возразил штольц,5
обломов вздохнул,5
своем месте,5
полуотворенную дверь,5
ильич захар,5
изменился лице,5
первое мая,4
захар сделал,4
никто знает,4
такую кучу,4
стук ножей,4
мое дело,4
хозяйство пошло,4
скорей скорей,4
взгляд ольги,4
подала руку,4
ясные дни,4
ильич начал,4
обломов могу,4
ум сердце,4
думал штольц,4
сел столу,4
крикнул обломов,4
таком случае,4
штольц ах,4
штольц обломов,4
отец мать,4
андрея иваныча,4
вошел комнату,4
лицо платком,4
обломов правда,4
какие деньги,4
илья штольц,4
захар отворил,4
думал глядя,4
какое счастье,4
ушел обломов,4
изумлением спросил,4
домовому хозяину,4
пороховые заводы,4
батюшка илья,4
выборгской стороне,4
продолжал захар,4
знак согласия,4
ивана герасимовича,4
той минуты,4
каждым днем,4
илья илья,4
отрицательно головой,4
отворил дверь,4
свой век,4
взял письмо,4
ах андрей,4
глядя лицо,4
тарантьев обломов,4
ольга сергевна,4
никакого письма,4
хозяйской половины,4
закричал обломов,4
захар пошел,4
носовой платок,4
обломов начал,4
триста рублей,4
дом огород,4
заговорил захар,4
прежде бывало,4
обломов обедал,4
господа госпожи,4
обеими руками,4
спросила молчал,4
знать знаю,4
захар любил,4
васька ванька,4
протянула руку,4
постой дай,4
руки голову,4
склонив голову,4
захар закричал,4
захар остановился,4
руку сердцу,4
захар анисья,4
андрей иванович,4
спала ночь,4
ног головы,4
перебил тарантьев,4
ах сонечка,4
заемному письму,4
сю пору,4
сию минуту,4
обломов хотел,4
чрез минут,4
прибавил штольц,4
целым часам,4
взял шляпу,4
средним пальцем,4
отозвался обломов,4
направо налево,4
глядя окно,4
правда правда,4
подал руку,4
течение жизни,4
прибавил захар,4
взяв руку,4
думал захар,4
четырехэтажный дом,4
ma chere,4
поцеловал руку,4
целым дням,4
дай квасу,4
семену семен,3
ноги ногу,3
обломов жил,3
стану делать,3
прибавил иван,3
жизни искал,3
знает отчего,3
друг штольца,3
женщина жена,3
пелагея ивановна,3
доме пшеницыной,3
ах батюшка,3
катя семену,3
подходите подходите,3
видел ольга,3
хозяйка захар,3
скажу ольге,3
руки рукава,3
ума сошел,3
кончик носа,3
обломов отрезвился,3
увидя лицо,3
лег спину,3
слава господи,3
медленно задумчиво,3
письма старосты,3
голыми локтями,3
выборгской стороны,3
стакан воды,3
тридцать рублей,3
сел подле,3
спрыгнул лежанки,3
михея андреича,3
обломов обломов,3
ужасом спросил,3
треск откушенной,3
брат переехал,3
братом хозяйки,3
откушенной нитки,3
завтра воскресенье,3
взглянул ольгу,3
серый сюртук,3
идти вперед,3
dieu sait,3
спрашивал штольц,3
такого человека,3
отвечал иван,3
слышишь слышу,3
дверь анисья,3
рукой дверь,3
тараща глаза,3
наталья фаддеевна,3
дрожащей рукой,3
спуская глаз,3
взгляда слова,3
глядя таким,3
третьего дня,3
ольга молчала,3
устройства имения,3
начал захар,3
сухой кашель,3
жалкие слова,3
отозвался иван,3
никто знал,3
заговорил илья,3
захар начал,3
женщина обломов,3
лицо ольга,3
некуда идти,3
обломов анисья,3
глядя сторону,3
двадцати пяти,3
стало ясно,3
эй васька,3
взглянул штольца,3
штольц слушал,3
раздался звонок,3
образ ольги,3
нежен нежен,3
жить вместе,3
захар илья,3
лицо обломова,3
лицом подушке,3
ильич должен,3
захар глядя,3
сломя голову,3
захар вошел,3
барин илья,3
какое письмо,3
голая рука,3
ответа деревни,3
обломов грозно,3
покорно благодарю,3
план устройства,3
всяком случае,3
сюда обломов,3
надевать чулки,3
той любви,3
сонечка мужем,3
дома анисья,3
особый дом,3
послушай михей,3
жив здоров,3
обломов худо,3
жить иначе,3
белом свете,3
иван алексеич,3
добрый бурш,3
побежал ольге,3
последние слова,3
обломов пошел,3
жизни одну,3
повторил тарантьев,3
другом случае,3
седых волос,3
голову приходило,3
восемьсот рублей,3
хозяйские дети,3
настаивал штольц,3
никак ожидала,3
отвечал андрей,3
место жительства,3
небрежно обломов,3
отец сын,3
закричу мир,3
вперед комнате,3
обломов задумался,3
тарантьев захар,3
кричал тарантьев,3
целой жизни,3
квартиры гонят,3
тарантьев ушел,3
став колени,3
жалкими словами,3
послушай ольга,3
оглядывая комнату,3
грозно спросил,3
проснулся утром,3
боже обломов,3
слова движения,3
задумчиво глядя,3
милостивый государь,3
гулять прогнал,3
господа бога,3
сердце замирает,3
впиваясь глазами,3
сад павильон,3
хотел поговорить,3
прикрыв глаза,3
жалких слов,3
нетерпением обломов,3
рос учился,3
руки ноги,3
шитую подушку,3
