Bigram,Count
самом деле,59
иван матвеевич,53
друг друга,31
тех пор,27
каждый день,26
ma tante,25
бог знает,25
это такое,24
ради бога,22
целый день,21
сказал ильич,20
слава богу,20
крайней мере,20
мало помалу,19
сих пор,19
ах боже,18
это жизнь,16
это время,15
выборгскую сторону,14
той неделе,14
сказал это,14
это значит,14
взад вперед,13
две недели,13
это это,12
законное дело,12
casta diva,12
обе руки,11
это правда,11
друг другу,11
ах господи,11
люблю люблю,10
боже сохрани,10
дай бог,10
агафьи матвеевны,10
ко всему,10
т п,10
сказал иван,9
ту сторону,9
десять тысяч,9
покачал головой,9
одной рукой,9
это должно,9
спросил ильич,9
пять лет,8
ах б,8
нечего делать,8
спросил это,8
несколько минут,8
двадцать пять,8
батюшка иваныч,8
новую квартиру,8
хотел сказать,8
третий день,8
весь дом,8
бог тобой,7
пятьдесят рублей,7
пять рублей,7
цель жизни,7
ту другую,7
тише тише,7
спросил тебе,7
черт знает,7
бог вами,7
мимо окон,7
утра вечера,7
лай собаки,6
обо всем,6
новой квартире,6
скаканье цепи,6
всякий день,6
завтра послезавтра,6
дна души,6
иван матвеич,6
несколько дней,6
ах сказал,6
бог даст,6
весь век,6
глубоким вздохом,6
свое имение,6
письмо старосты,6
жизнь жизнь,6
дня день,6
это скучно,6
поди сюда,6
отчего это,6
богу правда,6
тебе это,6
спросила глядя,6
глядя глаза,6
голову плечо,6
сказать это,6
свое место,6
сквозь землю,6
нетерпеливо спросил,6
сказала хозяйка,6
вся жизнь,6
повторил ильич,6
заемное письмо,6
изменился лице,5
лет назад,5
это любовь,5
одном месте,5
ветку сирени,5
коли ругается,5
пойдем пойдем,5
идеал жизни,5
несколько лет,5
спросил дворник,5
ильина дня,5
угла угол,5
образ жизни,5
это сказал,5
это неправда,5
это спросил,5
цвет жизни,5
яко две,5
рублей ассигнациями,5
двадцать лет,5
думал глядя,5
приходило голову,5
разные стороны,5
это равно,5
какое письмо,5
боже это,5
ко всем,5
говорит это,5
это ильич,5
т д,5
махнув рукой,5
боку бок,5
едва слышно,5
друг другом,5
другую сторону,5
вся эта,5
сказала это,5
ильич это,5
дай ка,5
своей жизни,5
покачала головой,5
сказал глядя,5
читал писал,5
завтра завтра,5
пор пока,5
ильей ильичом,5
локтем грудь,5
это очень,5
почем знаю,5
пять минут,5
жизни это,5
взял руку,5
ногу ногу,5
тридцать лет,5
говорила тетка,5
поднимая глаз,5
своем месте,5
полуотворенную дверь,5
изо дня,5
землю провалиться,5
своего друга,5
другое дело,5
сел столу,4
б знала,4
года четыре,4
весь мир,4
сегодня завтра,4
целым часам,4
руки голову,4
это происходило,4
отворил дверь,4
ma chere,4
знать знаю,4
обеими руками,4
правда правда,4
никакого письма,4
видал сказал,4
две помене,4
отвечал иван,4
одной стороны,4
тысящи яко,4
спала ночь,4
скорей скорей,4
течение жизни,4
знаю это,4
придет человек,4
это самом,4
думал это,4
вошел комнату,4
каждым днем,4
глядя окно,4
решительно сказал,4
ильич начал,4
хотела сказать,4
свое дело,4
отец мать,4
эта грусть,4
ясные дни,4
спросила молчал,4
поговорить вами,4
сегодня сегодня,4
прежде бывало,4
отрицательно головой,4
эта женщина,4
первое мая,4
какое счастье,4
это говорю,4
должно оттого,4
изумлением сказал,4
стук ножей,4
несколько времени,4
лицо платком,4
такую кучу,4
сказать тебе,4
знак согласия,4
житья бытья,4
подала руку,4
руку сердцу,4
дом огород,4
делать это,4
заемному письму,4
направо налево,4
спросил глядя,4
мое дело,4
владеть собой,4
господа госпожи,4
изумлением спросил,4
свой век,4
скажу тебе,4
нынешний год,4
оно самом,4
такое спросил,4
ум сердце,4
жалкими словами,4
ехать деревню,4
ядовитый человек,4
старого времени,4
какие деньги,4
взял письмо,4
выборгской стороне,4
сказала тетка,4
домовому хозяину,4
сюда сказал,4
двести рублей,4
ваше счастье,4
очень благодарен,4
посмотрите ка,4
одну минуту,4
ног головы,4
пороховые заводы,4
изменилась лице,4
целым дням,4
ужасом сказал,4
той минуты,4
взял шляпу,4
своего ума,4
дай квасу,4
никто знает,4
сию минуту,4
сама хозяйка,4
жалкие слова,4
ту минуту,4
скажу барину,4
двенадцать лет,4
батюшка ильич,4
буду плакать,4
хозяйство пошло,4
четырехэтажный дом,4
поцеловал руку,4
подал руку,4
давным давно,4
минут десять,4
б это,4
склонив голову,4
носовой платок,4
сергеевна сказал,4
недели две,4
своей стороны,4
день деньской,4
волей неволей,4
говорила это,4
средним пальцем,4
таком случае,4
кого это,4
взяв руку,4
хозяйской половины,4
спуская глаз,3
прямо глаза,3
поблекло отошло,3
вами кого,3
сел подле,3
спрыгнул лежанки,3
брат переехал,3
ваше превосходительство,3
ужасом спросил,3
передо мной,3
знаю сказал,3
принес квасу,3
это говорила,3
обернувшись нему,3
кого ждали,3
скучно это,3
михея андреича,3
лиловое платье,3
пожал плечами,3
велели сказать,3
придет очнетесь,3
ждали ком,3
произнес это,3
четвертый день,3
медленно задумчиво,3
ах произнес,3
покорно благодарю,3
шитую подушку,3
вперед комнате,3
месяца четыре,3
заговорил ильич,3
замахиваясь локтем,3
делать спросил,3
глядит глядит,3
сказать б,3
хотел знать,3
ком мечтали,3
сказал дворник,3
стало ясно,3
это вздор,3
большею частию,3
пусть достается,3
стыдно больно,3
презрением сказал,3
две тысячи,3
это тебе,3
сказал зевая,3
это нужно,3
положил стол,3
сегодня ночь,3
ответа деревни,3
жизнь бог,3
никуда годится,3
коллежский секретарь,3
кончил курс,3
квартиры гонят,3
делать нечего,3
письмо имя,3
целое утро,3
пять верст,3
сад павильон,3
любовь эта,3
ваш братец,3
ах это,3
пакетом мышкой,3
спросила это,3
десять лет,3
смерть нейдет,3
дом сад,3
прибавил иван,3
тысячу рублей,3
это случалось,3
сказал пошел,3
ноги ногу,3
пить чай,3
полторы тысячи,3
рос учился,3
белом свете,3
руку это,3
уездном суде,3
последние слова,3
своей любви,3
впиваясь глазами,3
лег спину,3
тебе стыдно,3
ушел домой,3
клеенчатый плащ,3
свои дела,3
целые дни,3
голая рука,3
сердце замирает,3
сказал давеча,3
какую вещь,3
сухой кашель,3
это пройдет,3
тебе дал,3
хотел поговорить,3
стакан воды,3
некуда идти,3
десять мест,3
трои сутки,3
