Chapter,First_Sentence
I,"    В Гороховой улице, в одном из больших домов, народонаселения которого стало бы на целый уездный город, лежал утром в постели, на своей квартире, Илья Ильич Обломов."
II,"    Вошел молодой человек лет двадцати пяти, блещущий здоровьем, с смеющимися щеками, губами и глазами."
III,    - Дома?
IV,"    - Здравствуй, земляк, - отрывисто сказал Тарантьев, протягивая мохнатую руку к Обломову."
V,"    Обломов, дворянин родом, коллежский секретарь чином, безвыездно живет двенадцатый год в Петербурге."
VI,    Что ж он делал дома?
VII,    Захару было за пятьдесят лет.
VIII,"    Захар, заперев дверь за Тарантьевым и Алексеевым, когда они ушли, не садился на лежанку, ожидая, что барин сейчас позовет его, потому что слышал, как тот собирался писать."
X,"    Только что храпенье Ильи Ильича достигло слуха Захара, как он прыгнул осторожно, без шума, с лежанки, вышел на цыпочках в сени, запер барина на замок и отправился к воротам."
I,"    Штольц был немец только вполовину, по отцу: мать его была русская; веру он исповедовал православную; природная речь его была русская: он учился ей у матери и из книг, в университетской аудитории и в играх с деревенскими мальчишками, в толках с их отцами и на московских базарах."
II,    Штольц ровесник Обломову: и ему уже за тридцать лет.
III,"    - Здравствуй, Илья."
IV,"    Хотя было уже не рано, но они успели заехать куда-то по делам, потом Штольц захватил с собой обедать одного золотопромышленника, потом поехали к этому последнему на дачу пить чай, застали большое общество, и Обломов из совершенного уединения вдруг очутился в толпе людей."
V,"    ""Теперь или никогда!"""
VI,"    Обломову, среди ленивого лежанья в ленивых позах, среди тупой дремоты и среди вдохновенных порывов, на первом плане всегда грезилась женщина как жена и иногда - как любовница."
VII,"    Долго он глядел ей вслед большими глазами, с разинутым ртом, долго поводил взглядом по кустам...
     Прошли чужие, пролетела птица."
VIII,    Весь этот день был днем постепенного разочарования для Обломова.
X,"    Обломов был в том состоянии, когда человек только что проводил глазами закатившееся летнее солнце и наслаждается его румяными следами, не отрывая взгляда от зари, не оборачиваясь назад, откуда выходит ночь, думая только о возвращении на завтра тепла и света."
I,"    Обломов сиял, идучи домой."
II,"    Он ушел, а Обломов сел в неприятном расположении духа в кресло и долго, долго освобождался от грубого впечатления."
III,"    В конце августа пошли дожди, и на дачах задымились трубы, где были печи, а где их не было, там жители ходили с подвязанными щеками, и наконец, мало-помалу, дачи опустели."
IV,"    Он сказал Ольге, что переговорил с братом хозяйки, и скороговоркой прибавил от себя, что есть надежда на этой неделе передать квартиру."
V,"    Обломов не знал, с какими глазами покажется он к Ольге, что будет говорить она, что будет говорить он, и решился не ехать к ней в среду, а отложить свидание до воскресенья, когда там много народу бывает и им наедине говорить не удастся."
VI,"    Он не заметил, что Захар подал ему совсем холодный обед, не заметил, как после того очутился в постели и заснул крепким, как камень, сном."
VII,    Прошла неделя.
VIII,"    На другой день Захар, убирая, комнату, нашел на письменном столе маленькую перчатку, долго разглядывал ее, усмехнулся, потом подал Обломову."
X,"    Вечером в тот же день, в двухэтажном доме, выходившем одной стороной в улицу, где жил Обломов, а другой на набережную, в одной из комнат верхнего этажа сидели Иван Матвеевич и Тарантьев."
I,    Год прошел со времени болезни Ильи Ильича.
II,    Иванов день прошел торжественно.
III,    Тарантьев и Иван Матвеевич на другой день ильина дня опять сошлись вечером в заведении.
IV,"    Надо теперь перенестись несколько назад, до приезда Штольца на именины к Обломову, и в другое место, далеко от Выборгской стороны."
V,    Боже мой!
VI,    Через два часа пришел Штольц.
VII,"    На другой день Агафья Матвеевна дала Штольцу свидетельство, что она никакой денежной претензии на Обломова не имеет."
VIII,    Штольц не приезжал несколько лет в Петербург.
X,    Прошло лет пять.
