Artikel;Price EUR;RG
46637925409;63,19;20
71227109022;13,25;20
71229829413;13,25;20
71227924672;13,25;20
71228860632;19,84;20
71221622622;13,25;20
71221690248;19,84;20
71227105118;19,84;20
71228359545;19,84;20
71221692960;19,84;20
51147108323;31,94;20
71228872605;13,25;20
51147924397;57,34;20
71228388406;13,25;20
71228872601;13,25;20
71227924368;13,25;20
52538104276;36,41;20
51147108322;31,94;20
71227105510;13,25;20
71247914447;13,25;20
52537108223;17,29;20
71228867599;13,25;20
71227924323;19,84;20
71228884708;13,25;20
71227105852;13,25;20
71227108344;19,84;20
71228860641;13,25;20
51145A828F6;13;20
51145A82F02;64,21;20
33735A69B15;43,8;20
71245B3DD74;13,25;20
46635A65AD6;37,33;20
51145A82EA4;71,64;20
51145A82EA3;71,64;20
71245B32B35;19,84;20
51145A82F15;36,26;20
71245A9BC82;13,25;20
71228884710;13,25;20
71228885916;13,25;20
71241640449;13,25;20
71228873457;19,84;20
71221690247;19,84;20
71228389184;19,84;20
71227922244;13,25;20
51147107800;13;20
71228872604;13,25;20
71227924352;19,84;20
51147914774;13;20
71228872615;19,84;20
32727105749;433,09;20
51147924398;57,34;20
71228504000;19,84;20
71227924656;13,25;20
71241629634;13,25;20
71228867601;13,25;20
71221640505;13,25;20
71221684769;13,25;20
23007109389;38,35;20
51147108316;31,94;20
32727108207;433,09;20
71221686995;19,84;20
46628102920;30,24;20
51147108313;31,94;20
71228867576;19,84;20
33141213226;12,4;14
51779479130;12,4;27
36318414975;12,4;32
51779479129;12,4;27
64509890320;12,4;19
64536956714;12,4;19
51177409342;12,4;19
41009801691;12,4;19
23117516307;12,4;19
36318562554;12,4;32
51177412383;12,4;19
51177427795;12,4;19
77257728890;12,4;32
61667357287;12,4;23
51166954936;12,4;19
36318528711;12,4;32
52109124297;35,54;19
51218132689;35,54;15
61660411999;35,54;31
32106790329;35,54;31
52109124299;35,54;19
11348562851;35,54;20
11348552362;35,54;20
52109124298;35,54;19
51427457544;30,17;19
13627823478;30,17;24
63127245818;30,17;23
11531742125;31,83;31
51477137460;31,83;19
11257749971;30,03;14
11347743324;30,03;14
52207991693;401,2;17
23121220007;318,41;15
51438202612;318,41;15
51438202611;318,41;15
11147795275;318,41;15
52208254987;318,41;17
32306794084;318,41;15
51428408625;42,25;19
61319205154;42,25;9
51434A06A91;52,07;17
23008537747;52,07;40
51434A06A93;52,07;17
27727722179;52,07;40
51357906916;43,8;19
41118045341;43,8;19
51479133688;43,8;19
41104866804;38,43;24
46538560142;12,53;32
61131239368;12,53;14
33122310549;12,53;32
33123038105;12,53;14
61139187251;12,53;23
61219480140;12,53;20
61132898591;12,53;23
71117715133;12,53;28
84138378549;12,53;17
54107049025;38,02;15
51439418813;38,02;17
51439418814;38,02;17
33522283713;38,02;19
51217034467;38,02;19
54347162754;38,02;15
54342758112;53,72;19
51257714672;106,4;16
11654805072;44,8;24
51357398230;51,93;19
17124754905;51,93;20
51247042104;51,93;27
16197407240;51,93;19
51357398229;51,93;19
17128511912;51,93;20
36116775632;51,93;31
16117260942;51,93;19
24401216837;44,8;24
51168125559;51,93;24
51717208125;51,93;17
17128514048;51,93;20
51497946709;198,69;19
51497946710;198,69;19
51710151595;1,99;27
23511232090;1,99;22
62112346453;1,99;32
13547689883;1,99;32
51168032899;916;19
51258402056;1,99;32
61138782629;1,99;19
32310141417;1,99;31
07129908121;1,99;26
51168032898;916;19
12141433240;916;17
11141460674;1,99;32
51417326324;1,99;19
07119905972;1,99;27
07119904964;1,99;32
51168032907;916;19
51147108778;64,21;20
46611728866;48,96;20
71241690845;19,84;20
51145A828F5;13;20
51145A82EE8;71,64;20
71245B3BB81;13,25;20
46725A75BA2;17,29;20
51145A82EA5;71,64;20
51145A82EF8;71,64;20
51145A82EA6;71,64;20
77425B3EAA2;37,82;20
71245B33678;13,25;20
46635A795D8;30,24;20
61131540032;9,79;20
77227914450;13,25;20
46621542227;30,24;20
51147108610;42,63;20
51147108606;48,61;20
71221688433;13,25;20
71227924361;13,25;20
71228861100;13,25;20
77227914449;13,25;20
51147925502;82,76;20
71228504002;13,25;20
71227108993;19,84;20
71229829414;13,25;20
71228389263;13,25;20
71227108992;19,84;20
51147107806;13;20
71221542156;19,84;20
71228872613;19,84;20
71221542157;19,84;20
51147925517;64,21;20
51147914777;13;20
71228873476;13,25;20
51147914753;36,26;20
71249457031;13,25;20
46617105686;30,24;20
51147108865;40,64;20
71249480537;13,25;20
46635A65AD5;37,33;20
46635A69C98;17,29;20
51145A82EE7;71,64;20
51145A82B38;75,7;20
31425A71336;95,63;20
77425B3EAA1;37,82;20
51145A828F7;13;20
51145A82EF7;71,64;20
46635A69C96;30,24;20
71221684857;13,25;20
71227924646;19,84;20
71228396921;19,84;20
71228860642;19,84;20
46611541514;30,24;20
71247924331;13,25;20
51147924394;67,16;20
46637924562;48,96;20
71228409538;19,84;20
71229829412;13,25;20
46631743911;17,29;20
51147925501;82,76;20
34528553714;9,79;20
71221542192;13,25;20
51147925518;64,21;20
71228885921;19,84;20
51147108609;42,63;20
71228862257;13,25;20
61278525606;19,84;20
71228556515;13,25;20
71228873477;13,25;20
71228358377;13,25;20
71229829415;13,25;20
71228860646;19,84;20
71245A7A6F0;13,25;20
51145A82EF2;64,21;20
51145A82F16;36,26;20
71245B3BB83;13,25;20
71228865190;13,25;20
71229443945;13,25;20
51147108781;71,64;20
71227108349;13,25;20
77118394380;13,25;20
71228860634;19,84;20
71228864417;19,84;20
