Latin_Word,Frequency
ma,26
tante,25
Casta,13
diva,12
I,4
IX,4
VII,4
VI,4
Ma,4
X,4
XI,4
chere,4
V,4
IV,4
III,4
VIII,4
II,4
sait,3
propos,3
mon,3
Dieu,3
M,2
XII,2
de,2
pensee,2
au,2
revoir,2
r,1
N,1
di,1
incognita,1
cousin,1
Cousin,1
maman,1
oncle,1
repos,1
Revue,1
a,1
feuilles,1
d,1
automne,1
Mais,1
vient,1
dire,1
Mysteres,1
terra,1
Junge,1
hermitage,1
solitude,1
gothique,1
Au,1
courant,1
bals,1
champetres,1
Pardon,1
lacets,1
Pr,1
prince,1
Michel,1
fatum,1
Hypertrophia,1
cordis,1
cum,1
dilatatione,1
ejus,1
ventriculi,1
sinistri,1
hetitis,1
Recht,1
gut,1
mein,1
lieber,1
decorum,1
m,1
lle,1
Ernestine,1
Petersbourg,1
