Буква,Частота в тексте (%),Ожидаемая частота (%),Соотношение к ожиданию
о,10.681,9.0,1.19
а,9.009,6.2,1.45
е,8.264,7.2,1.15
и,6.535,6.2,1.05
н,6.311,5.3,1.19
т,6.171,5.3,1.16
с,5.123,4.5,1.14
л,4.885,3.5,1.4
в,4.372,3.8,1.15
р,4.136,4.0,1.03
к,3.509,2.8,1.25
у,3.164,2.1,1.51
д,3.149,2.5,1.26
м,2.877,2.6,1.11
п,2.569,2.3,1.12
я,2.127,1.8,1.18
ь,2.103,1.4,1.5
б,1.959,1.4,1.4
г,1.855,1.3,1.43
з,1.683,1.6,1.05
ы,1.663,1.9,0.88
ч,1.512,1.2,1.26
й,1.304,1.0,1.3
ж,1.06,0.7,1.51
ш,0.902,0.6,1.5
х,0.749,0.9,0.83
ю,0.637,0.6,1.06
э,0.301,0.3,1.0
ц,0.272,0.4,0.68
щ,0.258,0.3,0.86
ф,0.162,0.2,0.81
ё,0.091,0.0,
e,0.078,0.0,
i,0.056,0.0,
s,0.045,0.0,
a,0.044,0.0,
n,0.043,0.0,
o,0.039,0.0,
u,0.035,0.0,
t,0.034,0.0,
r,0.034,0.0,
m,0.031,0.0,
c,0.026,0.0,
l,0.024,0.0,
ъ,0.019,0.0,
p,0.016,0.0,
d,0.015,0.0,
h,0.014,0.0,
v,0.014,0.0,
x,0.009,0.0,
g,0.008,0.0,
b,0.008,0.0,
f,0.007,0.0,
j,0.004,0.0,
z,0.004,0.0,
q,0.004,0.0,
y,0.001,0.0,
k,0.0,0.0,
w,0.0,0.0,
