index;File1_Word_Frequency;File1_Bigram_Frequency;File2_Word_Frequency;File2_Bigram_Frequency
04 12;0;1;0;0
1;2;0;6;0
10;2;0;7;0
10 15;0;1;0;1
10 до;0;1;0;0
10 миллионов;0;0;0;4
10 раз;0;0;0;1
10 субъектов;0;0;0;1
10 тысяч;0;0;0;1
100;0;0;7;0
100 детских;0;0;0;1
100 миллиардов;0;0;0;2
100 процентное;0;1;0;0
100 процентов;0;0;0;1
100 таких;0;0;0;2
100 тысяч;0;0;0;1
11;1;0;1;0
11 миллионов;0;0;0;1
11 раз;0;1;0;0
110;0;0;1;0
110 ещё;0;0;0;1
110 миллионов;0;0;0;1
116;0;0;1;0
116 миллиардов;0;0;0;1
12;0;0;4;0
12 2014;0;1;0;0
12 до;0;0;0;1
12 индустриальных;0;0;0;1
12 процентов;0;0;0;1
12 таких;0;0;0;1
120;0;0;3;0
120 миллиардов;0;0;0;3
124;0;0;1;0
124 миллиарда;0;0;0;1
128;0;0;1;0
128 крупных;0;0;0;1
13;0;0;1;0
13 миллиона;0;0;0;1
13 процентов;0;0;0;1
1300;0;0;1;0
1300 рублей;0;0;0;1
136;1;0;0;0
136 млн;0;1;0;0
14;2;0;0;0
14 до;0;2;0;0
140;0;0;1;0
140 миллионов;0;0;0;1
144;1;0;0;0
144 млн;0;1;0;0
146;1;0;0;0
146 млн;0;1;0;0
15;1;0;2;0
15 лет;0;1;0;3
15 процента;0;0;0;2
150;0;0;2;0
150 миллиардов;0;0;0;1
150 школ;0;0;0;1
16;0;0;1;0
16 2022;0;0;0;1
16 лет;0;0;0;1
17;2;0;2;0
17 лет;0;2;0;1
17 процентов;0;0;0;1
173;0;0;1;0
173 до;0;0;0;1
18 тысячи;0;0;0;1
19;0;0;3;0
19 минут;0;0;0;1
19 процентов;0;0;0;1
19 тысяч;0;0;0;1
190;0;0;1;0
190 миллиардов;0;0;0;1
1941;1;0;0;0
1941 1942;0;1;0;0
1942;1;0;0;0
1942 годов;0;1;0;0
1981 1988;0;0;0;1
1987;0;0;1;0
1987 году;0;0;0;1
1988 годах;0;0;0;1
1992;0;0;2;0
1992 году;0;0;0;2
1999;0;0;1;0
1999 году;0;0;0;1
2;2;0;0;0
20;2;0;5;0
20 до;0;0;0;1
20 запускаем;0;0;0;1
20 лет;0;0;0;1
20 миллионов;0;0;0;1
20 москва;0;0;0;1
20 процентов;0;1;0;1
20 тыс;0;1;0;0
200;0;0;7;0
200 крупных;0;0;0;1
200 миллиардов;0;0;0;4
200 процентов;0;0;0;1
200 тысяч;0;0;0;1
2000;0;0;1;0
2000 годов;0;2;0;0
2000 году;0;0;0;1
2002;1;0;0;0
2002 года;0;1;0;0
2007;1;0;0;0
2007 года;0;1;0;0
2008;0;0;1;0
2008 году;0;0;0;1
2010;1;0;0;0
2010 году;0;1;0;0
2012;2;0;0;0
2012 года;0;2;0;0
2013;2;0;0;0
2013 2014;0;1;0;0
2013 года;0;1;0;0
2014;5;0;0;0
2014 года;0;3;0;0
2014 годах;0;1;0;0
2014 году;0;1;0;0
2014 положении;0;1;0;0
2015;5;0;0;0
2015 год;0;1;0;0
2015 года;0;2;0;0
2015 году;0;2;0;0
2016;1;0;0;0
2016 году;0;1;0;0
2018;1;0;4;0
2018 года;0;0;0;2
2018 году;0;1;0;1
2018 напомню;0;0;0;1
2018 по;0;0;0;1
202;0;0;1;0
202 тысячи;0;0;0;1
2020;2;0;1;0
2020 года;0;1;0;1
2020 году;0;1;0;0
2021;0;0;4;0
2021 года;0;0;0;1
2021 годом;0;0;0;1
2021 году;0;0;0;2
2022;0;0;4;0
2022 2023;0;0;0;1
2022 год;0;0;0;1
2022 годом;0;0;0;1
2022 году;0;0;0;2
2022 уже;0;0;0;1
2023;0;0;2;0
2023 год;0;0;0;1
2023 года;0;0;0;1
2023 годах;0;0;0;1
2024;0;0;4;0
2024 года;0;0;0;3
2024 года14;0;0;0;1
2025;0;0;5;0
2025 года;0;0;0;3
2025 году;0;0;0;1
2025 по;0;0;0;1
2026;0;0;2;0
2026 года;0;0;0;1
2026 году;0;0;0;1
2028;0;0;5;0
2028 год;0;0;0;2
2028 года;0;0;0;1
2028 году;0;0;0;2
