Index;File1_Sentences;File2_Sentences;File1_Frequency;File2_Frequency
1;"Послание Президента Российской Федерации от 04.12.2014 г. б/н
(О положении в стране и основных направлениях внутренней и внешней политики государства)
pravo.gov.ru
 

 

РОССИЙСКАЯ ФЕДЕРАЦИЯ
 

ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ
 

(О положении в стране и основных направлениях внутренней и внешней политики государства)
 

Уважаемые члены Совета Федерации, депутаты Государственной Думы, граждане России!";"Послание Президента Федеральному Собранию
Владимир Путин обратился с Посланием к Федеральному Собранию.";Counter({'федерации': 4, 'и': 4, 'российской': 3, 'послание': 2, 'президента': 2, 'о': 2, 'положении': 2, 'в': 2, 'стране': 2, 'основных': 2, 'направлениях': 2, 'внутренней': 2, 'внешней': 2, 'политики': 2, 'государства': 2, 'от': 1, 'российская': 1, 'федерация': 1, 'федеральному': 1, 'собранию': 1, 'уважаемые': 1, 'члены': 1, 'совета': 1, 'депутаты': 1, 'государственной': 1, 'думы': 1, 'граждане': 1, 'россии': 1});Counter({'федеральному': 2, 'собранию': 2, 'послание': 1, 'президента': 1, 'владимир': 1, 'путин': 1, 'обратился': 1, 'с': 1, 'посланием': 1, 'к': 1})
2;Сегодняшнее Послание будет, разумеется, соответствовать и времени, и условиям, в которых мы живём, тем задачам, которые перед нами стоят.;Церемония оглашения прошла в Москве, в Гостином дворе.;Counter({'и': 2, 'сегодняшнее': 1, 'послание': 1, 'будет': 1, 'разумеется': 1, 'соответствовать': 1, 'времени': 1, 'условиям': 1, 'в': 1, 'которых': 1, 'мы': 1, 'живём': 1, 'тем': 1, 'задачам': 1, 'которые': 1, 'перед': 1, 'нами': 1, 'стоят': 1});Counter({'в': 2, 'церемония': 1, 'оглашения': 1, 'прошла': 1, 'москве': 1, 'гостином': 1, 'дворе': 1})
3;Но прежде всего хочу поблагодарить всех вас за поддержку, за единение и солидарность в судьбоносные моменты, когда решается очень многое для будущего нашей страны.;"29 февраля 2024 года14:20 Москва
Послание Президента Федеральному Собранию
В.Путин: Уважаемые сенаторы!";Counter({'за': 2, 'но': 1, 'прежде': 1, 'всего': 1, 'хочу': 1, 'поблагодарить': 1, 'всех': 1, 'вас': 1, 'поддержку': 1, 'единение': 1, 'и': 1, 'солидарность': 1, 'в': 1, 'судьбоносные': 1, 'моменты': 1, 'когда': 1, 'решается': 1, 'очень': 1, 'многое': 1, 'для': 1, 'будущего': 1, 'нашей': 1, 'страны': 1});Counter({'29': 1, 'февраля': 1, '2024': 1, 'москва': 1, 'послание': 1, 'президента': 1, 'федеральному': 1, 'собранию': 1, 'уважаемые': 1, 'сенаторы': 1})
4;В этом году мы вместе прошли через испытания, которые по плечу только зрелой, сплочённой нации, по-настоящему суверенному и сильному государству.;Депутаты Государственной Думы!;Counter({'в': 1, 'этом': 1, 'году': 1, 'мы': 1, 'вместе': 1, 'прошли': 1, 'через': 1, 'испытания': 1, 'которые': 1, 'по': 1, 'плечу': 1, 'только': 1, 'зрелой': 1, 'сплочённой': 1, 'нации': 1, 'суверенному': 1, 'и': 1, 'сильному': 1, 'государству': 1});Counter({'депутаты': 1, 'государственной': 1, 'думы': 1})
5;Россия на деле доказала, что способна защитить своих соотечественников, с честью отстаивать правду и справедливость.;Уважаемые граждане России!;Counter({'россия': 1, 'на': 1, 'деле': 1, 'доказала': 1, 'что': 1, 'способна': 1, 'защитить': 1, 'своих': 1, 'соотечественников': 1, 'с': 1, 'честью': 1, 'отстаивать': 1, 'правду': 1, 'и': 1, 'справедливость': 1});Counter({'уважаемые': 1, 'граждане': 1, 'россии': 1})
6;Наша страна сделала это благодаря вам, граждане России (аплодисменты), благодаря вашему труду и тем результатам, которых мы добились вместе, благодаря вашему глубокому пониманию смысла и значимости общенациональных интересов.;Каждое Послание Федеральному Собранию – это прежде всего взгляд в будущее.;Counter({'благодаря': 3, 'вашему': 2, 'и': 2, 'наша': 1, 'страна': 1, 'сделала': 1, 'это': 1, 'вам': 1, 'граждане': 1, 'россии': 1, 'аплодисменты': 1, 'труду': 1, 'тем': 1, 'результатам': 1, 'которых': 1, 'мы': 1, 'добились': 1, 'вместе': 1, 'глубокому': 1, 'пониманию': 1, 'смысла': 1, 'значимости': 1, 'общенациональных': 1, 'интересов': 1});Counter({'каждое': 1, 'послание': 1, 'федеральному': 1, 'собранию': 1, 'это': 1, 'прежде': 1, 'всего': 1, 'взгляд': 1, 'в': 1, 'будущее': 1})
7;Мы осознали неразрывность, цельность тысячелетнего пути нашего Отечества.;И сегодня речь пойдёт не только о наших ближайших планах, но и о стратегических задачах, о тех вопросах, решение которых считаю принципиально важным для уверенного, долгосрочного развития страны.;Counter({'мы': 1, 'осознали': 1, 'неразрывность': 1, 'цельность': 1, 'тысячелетнего': 1, 'пути': 1, 'нашего': 1, 'отечества': 1});Counter({'о': 3, 'и': 2, 'сегодня': 1, 'речь': 1, 'пойдёт': 1, 'не': 1, 'только': 1, 'наших': 1, 'ближайших': 1, 'планах': 1, 'но': 1, 'стратегических': 1, 'задачах': 1, 'тех': 1, 'вопросах': 1, 'решение': 1, 'которых': 1, 'считаю': 1, 'принципиально': 1, 'важным': 1, 'для': 1, 'уверенного': 1, 'долгосрочного': 1, 'развития': 1, 'страны': 1})
8;И мы верим в себя, в то, что многое можем и всего добьёмся.;Такая программа действий, конкретных мер во многом формировалась и в ходе поездок в регионы, прямого разговора с рабочими, инженерами гражданских и оборонных заводов, с врачами, учителями, учёными, волонтёрами, предпринимателями, с многодетными семьями, с нашими героями-фронтовиками, добровольцами, солдатами и офицерами Вооружённых Сил России.;Counter({'и': 2, 'в': 2, 'мы': 1, 'верим': 1, 'себя': 1, 'то': 1, 'что': 1, 'многое': 1, 'можем': 1, 'всего': 1, 'добьёмся': 1});Counter({'с': 4, 'и': 3, 'в': 2, 'такая': 1, 'программа': 1, 'действий': 1, 'конкретных': 1, 'мер': 1, 'во': 1, 'многом': 1, 'формировалась': 1, 'ходе': 1, 'поездок': 1, 'регионы': 1, 'прямого': 1, 'разговора': 1, 'рабочими': 1, 'инженерами': 1, 'гражданских': 1, 'оборонных': 1, 'заводов': 1, 'врачами': 1, 'учителями': 1, 'учёными': 1, 'волонтёрами': 1, 'предпринимателями': 1, 'многодетными': 1, 'семьями': 1, 'нашими': 1, 'добровольцами': 1, 'солдатами': 1, 'офицерами': 1, 'вооружённых': 1, 'сил': 1, 'россии': 1})
9;Конечно, мы не можем сегодня не сказать о тех исторических событиях, которые произошли в этом году.;Конечно, мы понимаем, что такие мероприятия готовятся.;Counter({'не': 2, 'конечно': 1, 'мы': 1, 'можем': 1, 'сегодня': 1, 'сказать': 1, 'о': 1, 'тех': 1, 'исторических': 1, 'событиях': 1, 'которые': 1, 'произошли': 1, 'в': 1, 'этом': 1, 'году': 1});Counter({'конечно': 1, 'мы': 1, 'понимаем': 1, 'что': 1, 'такие': 1, 'мероприятия': 1, 'готовятся': 1})
10;Как известно, в марте этого года в Крыму состоялся референдум, на котором жители полуострова явно заявили о своём желании присоединиться к России.;Тем не менее реальные потребности людей, безусловно, прорываются в этих беседах.;Counter({'в': 2, 'как': 1, 'известно': 1, 'марте': 1, 'этого': 1, 'года': 1, 'крыму': 1, 'состоялся': 1, 'референдум': 1, 'на': 1, 'котором': 1, 'жители': 1, 'полуострова': 1, 'явно': 1, 'заявили': 1, 'о': 1, 'своём': 1, 'желании': 1, 'присоединиться': 1, 'к': 1, 'россии': 1});Counter({'тем': 1, 'не': 1, 'менее': 1, 'реальные': 1, 'потребности': 1, 'людей': 1, 'безусловно': 1, 'прорываются': 1, 'в': 1, 'этих': 1, 'беседах': 1})
11;Затем последовало решение крымского парламента, и подчеркну, абсолютно легитимного, не надо об этом забывать, избранного ещё в 2010 году, решение о независимости.;Много идей было выдвинуто и на крупных общественных, экспертных форумах.;Counter({'решение': 2, 'затем': 1, 'последовало': 1, 'крымского': 1, 'парламента': 1, 'и': 1, 'подчеркну': 1, 'абсолютно': 1, 'легитимного': 1, 'не': 1, 'надо': 1, 'об': 1, 'этом': 1, 'забывать': 1, 'избранного': 1, 'ещё': 1, 'в': 1, '2010': 1, 'году': 1, 'о': 1, 'независимости': 1});Counter({'много': 1, 'идей': 1, 'было': 1, 'выдвинуто': 1, 'и': 1, 'на': 1, 'крупных': 1, 'общественных': 1, 'экспертных': 1, 'форумах': 1})
12;И наконец, произошло историческое воссоединение Крыма и Севастополя с Россией.;Предложения граждан, их устремления и надежды стали основой, стержнем тех проектов, инициатив, которые прозвучат и сегодня.;Counter({'и': 2, 'наконец': 1, 'произошло': 1, 'историческое': 1, 'воссоединение': 1, 'крыма': 1, 'севастополя': 1, 'с': 1, 'россией': 1});Counter({'и': 2, 'предложения': 1, 'граждан': 1, 'их': 1, 'устремления': 1, 'надежды': 1, 'стали': 1, 'основой': 1, 'стержнем': 1, 'тех': 1, 'проектов': 1, 'инициатив': 1, 'которые': 1, 'прозвучат': 1, 'сегодня': 1})
13;(Аплодисменты.);Рассчитываю, что их общественное обсуждение, безусловно, продолжится, потому что реализовать всё задуманное мы сможем только вместе.;Counter({'аплодисменты': 1});Counter({'что': 2, 'рассчитываю': 1, 'их': 1, 'общественное': 1, 'обсуждение': 1, 'безусловно': 1, 'продолжится': 1, 'потому': 1, 'реализовать': 1, 'всё': 1, 'задуманное': 1, 'мы': 1, 'сможем': 1, 'только': 1, 'вместе': 1})
14;Для нашей страны, для нашего народа это событие имеет особое значение, потому что в Крыму живут наши люди и сама территория - стратегически важна.;Задачи большие.;Counter({'для': 2, 'нашей': 1, 'страны': 1, 'нашего': 1, 'народа': 1, 'это': 1, 'событие': 1, 'имеет': 1, 'особое': 1, 'значение': 1, 'потому': 1, 'что': 1, 'в': 1, 'крыму': 1, 'живут': 1, 'наши': 1, 'люди': 1, 'и': 1, 'сама': 1, 'территория': 1, 'стратегически': 1, 'важна': 1});Counter({'задачи': 1, 'большие': 1})
15;И потому, что именно здесь находится духовный исток формирования многоликой, но монолитной русской нации и централизованного Российского государства.;Мы с вами уже доказали, что способны решать самые сложные задачи, отвечать на любые, самые сложные вызовы.;Counter({'и': 2, 'потому': 1, 'что': 1, 'именно': 1, 'здесь': 1, 'находится': 1, 'духовный': 1, 'исток': 1, 'формирования': 1, 'многоликой': 1, 'но': 1, 'монолитной': 1, 'русской': 1, 'нации': 1, 'централизованного': 1, 'российского': 1, 'государства': 1});Counter({'самые': 2, 'сложные': 2, 'мы': 1, 'с': 1, 'вами': 1, 'уже': 1, 'доказали': 1, 'что': 1, 'способны': 1, 'решать': 1, 'задачи': 1, 'отвечать': 1, 'на': 1, 'любые': 1, 'вызовы': 1})
