Token,Frequency
Обломов,60
Илья,30
Захар,23
Ильич,22
Обломова,16
Ольга,16
Штольц,13
Захара,9
Тарантьев,8
Иван,7
Ольги,7
Андрей,7
Волков,6
Ильича,6
Обломову,5
Матвеевич,5
Ольге,5
Ивановна,4
Захару,4
Алексеев,4
Катя,3
Илье,3
Ильи,3
Штольцем,3
Матвеевна,3
Агафья,3
Иванович,3
Анисьи,3
Ильичу,3
Матвеевны,2
Илью,2
Агафьи,2
Италию,2
Мухояров,2
Обломовым,2
Пелагея,2
Штольца,2
Михей,2
Casta,2
Анисья,2
Андреич,2
Анисью,1
Андрюша,1
Париже,1
Ольгу,1
Ольгой,1
Анисье,1
Анисьей,1
Захаровых,1
Петербурге,1
Антипка,1
Обломовке,1
Антипу,1
Африки,1
Няня,1
Пенкин,1
Потроха,1
Барон,1
Пушкин,1
Пшеницын,1
Рокотов,1
Рубини,1
Андрея,1
Тарантьева,1
Татьяна,1
Трофимыч,1
Филиппе,1
Хозяйке,1
Швейцарию,1
Штольц.,1
Америку,1
Акулина,1
Наполеон,1
Миша,1
Затертый,1
Ильинских,1
Герасимович,1
Гершеля,1
Джентльмен,1
Дмитриев,1
Ильич.,1
Европе,1
Европу,1
Батюшков,1
Египет,1
Иваныч,1
Еруслан,1
Жуковский,1
Ивана,1
Заводы,1
Восток,1
Карамзин,1
Винчи,1
Киев,1
Корделии,1
Кузьку,1
Лазаревич,1
Леонардо,1
Людовике,1
Васьки,1
Матвеевича,1
Бетховен,1
Бах,1
Матвеич,1
Машенька,1
Мездровых,1
Миной,1
оборотне,1
