Группа АА,Программа,Подключение,пн.,вт.,ср.,чт.,пт.,сб.,вс.
AA24.Online,Zoom,"На сайте AA24.online
 Ежедневно и круглосуточно",24/7,24/7,24/7,24/7,24/7,24/7,24/7
Русскоязычная группа Америки и Канады,Zoom,ссылка для входа,4:00,4:00,4:00,4:00,4:00,4:00,4:00
Ветер перемен,Zoom,"ссылка для входа, код доступа 283176",7:00,7:00,7:00,7:00,7:00,7:00,7:00
ВНЕзависимости,Telegram,На сайте ВНЕзависимости,7:00,7:00,7:00,7:00,7:00,7:00,7:00
Утро,Telegram,Из группы в Telegram,7:00,7:00,7:00,7:00,7:00,7:00,7:00
Жаворонки,Telegram,ссылка для входа,8:00,8:00,8:00,8:00,8:00,8:00,8:00
Выздоровевшие,Telegram,Из группы в Telegram,8:00,8:00,8:00,8:00,8:00,8:00,8:00
Выжившие,Telegram,Из группы в Telegram,8:30,8:30,8:30,8:30,8:30,10:00,10:00
AA-Online.ru,Telegram,Ссылка Telegram для входа,9:00,9:00,9:00,9:00,9:00,9:00,9:00
Наш путь,Telegram,На сайте naashput.ru,9:00,9:00,9:00,9:00,9:00,9:00,9:00
Камчатка,Telegram,Из группы в Telegram,10:00,-,-,10:00,-,-,-
Начало,Zoom,ссылка для входа,10:00,10:00,10:00,10:00,10:00,10:00,10:00
Такси,Telegram,Из группы в Telegram,10:00,10:00,10:00,10:00,10:00,10:00,10:00
Мамы (для женщин),Zoom,На сайте aa-mom.ru,11:00,-,11:00,-,11:00,-,-
ВНЕзависимости,Telegram,На сайте ВНЕзависимости,12:00,12:00,12:00,12:00,12:00,12:00,12:00
Лампа,Telegram,Ссылка Telegram для входа,12:00,12:00,12:00,12:00,12:00,,
Пряники,Telegram,Ссылка Telegram для входа,13:00,13:00,13:00,13:00,13:00,13:00,13:00
Ветер перемен,Zoom,"ссылка для входа, код доступа 283176",13:00,13:00,13:00,13:00,13:00,13:00,13:00
Мы (Украина),Telegram,Из группы в Telegram,13:00,13:00,13:00,13:00,13:00,13:00,13:00
МАльтА,Zoom,"ссылка для входа, код доступа: 592511",-,-,-,-,-,-,15:00
Наш путь,Telegram,На сайте naashput.ru,15:00,15:00,15:00,15:00,15:00,15:00,15:00
Такси,Telegram,Из группы в Telegram,15:00,15:00,15:00,15:00,15:00,15:00,15:00
Спасательный Круг,Telegram,Ссылка Telegram для входа,16:00,16:00,16:00,16:00,16:00,16:00,16:00
Аффинаж,Telegram,Ссылка Telegram для входа,17:00,17:00,17:00,17:00,17:00,17:00,17:00
ИГрАА,Zoom,"Ссылка Zoom, код доступа 870697",17:00,17:00,17:00,17:00,17:00,17:00,17:00
Огни Енисея,Telegram,Ссылка Telegram для входа,17:00,17:00,17:00,17:00,17:00,17:00,17:00
Отрада,Telegram,Ссылка на сайте АА ОтрААда,18:00,18:00,18:00,18:00,18:00,18:00,18:00
Отражение,Telegram,Из группы в Telegram,18:00,18:00,18:00,18:00,18:00,18:00,18:00
Свои Люди,Zoom,Ссылка Zoom,18:30,,18:30,,18:30,,18:30
Мамы (для женщин),Telegram,На сайте aa-mom.ru,-,20:00,-,20:00,-,20:00,-
Выздоровевшие,Telegram,Из группы в Telegram,19:00,19:00,19:00,19:00,19:00,14:00,19:00
ССНП,Telegram,На сайте aa-ssnp.com,19:00,19:00,19:00,19:00,19:00,,
Время действий,Telegram,Из группы в Telegram,19:00,19:00,19:00,19:00,19:00,19:00,19:00
Правильное место,Telegram,Из группы в Telegram,19:30,19:30,19:30,19:30,19:30,19:30,19:30
Мир,Telegram,Из группы в Telegram,20:00,-,20:00,-,20:00,-,-
ВНЕзависимости,Telegram,На сайте ВНЕзависимости,20:00,20:00,20:00,20:00,20:00,20:00,20:00
Земляне,Zoom,На сайте aazemlyane.ru,20:00,20:00,20:00,20:00,20:00,20:00,"11:00
20:00"
Решение,Telegram,Из группы в Telegram,20:00,20:00,20:00,20:00,20:00,20:00,20:00
Станция Мир,Zoom,На сайте http://aa-station-mir.ru,20:00,-,20:00,-,-,11:00,-
Осознание,Telegram,Из группы в Telegram,-,20:00,-,20:00,20:00,20:00,20:00
Хорошевка,Zoom,Ссылка для входа. Код доступа: 1147,20:00,20:00,20:00,20:00,20:00,20:00,20:00
НовАя СвободА,Telegram,Из группы в Telegram,20:30,20:30,20:30,"12:00 
20:30",20:30,20:30,20:30
Китти Хок,Telegram,Из группы в Telegram,"17:00 
20:30","08:00 
20:30","13:00 
20:30","08:00 
20:30",20:30,"10:30 
20:30","10:30 
20:30"
AA-Online.ru,Zoom,Ссылка Telegram для входа,21:00,21:00,21:00,21:00,21:00,21:00,21:00
Трезвое Утро,Telegram,Из группы в Telegram,21:00,21:00,21:00,21:00,21:00,21:00,21:00
Партизан Онлайн,Telegram,Из группы в Telegram,21:00,21:00,21:00,21:00,21:00,21:00,21:00
Русскоязычная группа Америки и Канады,Zoom,ссылка для входа,21:00,21:00,21:00,21:00,21:00,21:00,21:00
НАшА Италия,Telegram,Из группы в Telegram,-,21:00,-,21:00,-,-,-
У Озера,Telegram,Из группы в Telegram,21:00,-,-,21:00,-,-,21:00
