Roman Numeral,First Sentence,Count
I,"Это был человек лет тридцати двух-трех от роду, среднего роста, приятной наружности, с темно-серыми глазами, но с отсутствием всякой определенной идеи, всякой сосредоточенности в чертах лица.",4
II,Зависть брала смотреть на него.,4
III,- громко и грубо кто-то спросил в передней.,4
IV,"- Чего ты это лежишь по сю пору, как колода?",4
IX,В какой благословенный уголок земли перенес нас сон Обломова?,4
M,"- говорил Волков, - а фамилия Тюменев не уписалась; это он мне в пасху подарил, вместо яичка.",2
V,"Сначала, при жизни родителей, жил потеснее, помещался в двух комнатах, довольствовался только вывезенным им из деревни слугой Захаром; но по смерти отца и матери он стал единственным обладателем трехсот пятидесяти душ, доставшихся ему в наследство в одной из отдаленных губерний, чуть не в Азии.",4
VI,Читал?,4
VII,"Он был уже не прямой потомок тех русских Калебов, рыцарей лакейской, без страха и упрека, исполненных преданности к господам до самозабвения, которые отличались всеми добродетелями и не имели никаких пороков.",4
VIII,"Но в кабинете Обломова все было тихо, как в могиле.",4
X,"- А, Захар Трофимыч: добро пожаловать!",4
XI,В кабинете раздавалось мерное храпенье.,4
XII,"Дома сказали, что она ушла; он в деревню - нет.",2
