Фамилия Имя Отчество,Дата смерти,Количество лет
Абалешева Параскева Ниловна,13 мая 1895,91
Аблуцкая Анна Николаевна,19 августа 1853,-
Аваева Елизавета Ивановна,1 марта 1907,-
Аверьянова Анна Петровна,26 ноября 1880,38
Агаревъ Илья Ивановичъ,6 мая 1854,-
Аигинъ Александръ Васильевичъ,4 сентября 1900,-
Айгустовъ Никита Васильевичъ,26 іюня 1768,-
Айгустовъ Яковъ Андреевичъ,7 мая 1793,62
Аксакова Анна Петровна,8 іюня 1817,-
Александрова Варвара Яковлевна,7 декабря 1903,-
Александрова Лукерья Семеновна,4 мая 1844,90
Александръ Ивановичъ Тверской,25 октября 1425,-
Ломжинскаго Окружного Суда,30 января 1903,-
Алфимова Анна Ивановна,23 мая 1853,-
Алфимовъ Семенъ Васильевичъ,3 августа 1789,-
Альбовъ Павелъ Ивановичъ,26 августа 1895,76
Алябьева Ольга Ивановна,10 ноября 1909,-
Алябьевъ Яковъ Венедиктовичъ,5 октября 1660,-
Андре Маргарита Ивановна,7 ноября 1910,-
Андреева Александра Петровна,10 іюля 1875,45
Андреева Екатерина Петровна,16 января 1890,73
Андреевъ Романъ Михайловичъ,28 января 1878,-
Анисииова Александра Ивановна,23 октября 1892,-
Аничкова Елизавета Александровна,4 марта 1910,-
Аничкова Ольга Ивановна,17 іюня 1894,-
Анненкова Ольга Степановна,23 февраля 1910,-
Анненковъ Константинъ Петровичъ,3 декабря 1865,-
Ансеровъ Николай Александровичъ,29 іюля 1908,75
Апсеитова Анна Константиновна,23 сентября 1858,24
Апсеитова Варвара Александровна,27 сентября 1888,-
Апсеитовъ Андрей Ивановичъ,16 мая 1864,-
Апыхтинъ Александръ Николаевичъ,2 мая 1864,-
Апыхтинъ Викторъ Петровичъ,11 октября 1904,-
Аракчеевъ Михаилъ Ивановичъ,29 іюня 1891,-
Арбузовъ Александръ Павловичъ,14 января 1878,-
Арбузовъ Михаилъ Павловичъ,26 ноября 1895,75
Артемовъ Николай Емельяновичъ,10 августа 1891,57
Архаровъ Николай Петровичъ,3 мая 1893,-
Арцыбашева Анна Александровна,14 января 1794,45
Арцыбашева Екатерина Ивановна,4 ноября 1799,46
Арцыбашевъ Михаилъ Ивановичъ,2 іюля 1810,64
Астафьева Агриппина Семеновна,25 ноября 1879,-
Астафьевъ Маркъ Ивановичъ,19 ноября 1877,-
Ахматовъ Макаръ Григорьевичъ,4 января 1835,50
Семена Ивановича Ашиткова,30 ноября 1793,-
Бабинъ Александръ Петровичъ,17 декабря 1900,-
Бабинъ Аполлонъ Ивановичъ,5 іюля 1807,-
Бабинъ Павелъ Аполлоновичъ,5 іюля 1830,-
Бабсть Иванъ Кондратьевичъ,6 іюля 1881,-
Багговутъ Евграфъ Мироновичъ,22 декабря 1856,-
Баженинъ Осипъ Андреевичъ,18 августа 1723,-
Базанинъ Николай Петровичъ,25 октября 1845,-
Бакунина Анна Михайловна,2 іюля 1850,83
Бакунинъ Михаилъ Васильевичъ,12 февраля 1803,73
Балавенской Нилъ Александровичъ,9 февраля 1880,-
Балкашина Надежда Даниловна,9 мая 1834,-
Балкашинъ Леонидъ Николаевичъ,21 января 1906,-
Балкъ Александръ Орестовичъ,26 сентября 1895,-
Балкова Анна Михайловна,28 декабря 1832,-
Балкъ Елизавета Петровна,16 іюня 1877,-
Балкъ Иванъ Ивановичъ,8 октября 1873,-
Баракова Александра Петровна,3 сентября 1888,-
Баранова Анна Александровна,7 іюня 1868,-
Барановъ Иванъ Исаевичъ,3 мая 1868,79
Барановъ Максимъ Ивановичъ,3 мая 1843,-
Баранцевъ Петръ Ильичъ,27 февраля 1831,-
Бартенева Анна Семеновна,21 августа 1859,-
Бартенева Клеопатра Григорьевна,20 іюня 1853,-
Бартеневъ Павелъ Никифоровичъ,15 января 1872,-
Бартлемановъ Иванъ Николаевичъ,31 мая 1836,-
Бартоломей Иванъ Ивановичъ,3 мая 1877,-
Баскакова Авдотья Даниловна,15 мая 1840,-
Баскакова Надежда Михайловна,6 аагуста 1896,-
