Trigram,Frequency
спросил илья ильич,8
батюшка андрей иваныч,8
повторил илья ильич,6
сквозь землю провалиться,5
илья ильич захар,5
тысящи яко помене,5
люблю люблю люблю,4
батюшка илья ильич,4
илья ильич начал,4
барин илья ильич,3
скаканье цепи лай,3
прикрыв глаза рукой,3
послушай михей андреич,3
катя семену семен,3
взад вперед комнате,3
илья ильич обломов,3
треск откушенной нитки,3
захар ушел обломов,3
ильинскую пятницу пороховые,3
пятницу пороховые заводы,3
план устройства имения,3
цепи лай собаки,3
обломов захар молчал,3
отозвался иван матвеевич,3
заткнутым пояс подолом,3
произнес илья ильич,3
отвечал иван матвеевич,3
заговорил илья ильич,3
захар захар ах,3
захар илья ильич,3
прибавил иван матвеевич,3
эй васька ванька,3
отвечал илья иванович,3
ах илья илья,3
илья ильич должен,3
огород отсыпной хлеб,2
потребность любить недостатком,2
говорила агафья матвеевна,2
особый дом огород,2
любить недостатком настоящей,2
захар трофимыч захар,2
бессознательная потребность любить,2
исай фомич затертый,2
управлял большим имением,2
будущая бессознательная потребность,2
любовь будущая бессознательная,2
настоящая любовь будущая,2
настоящее люблю настоящая,2
ах боже обломов,2
понимать друг друга,2
никакого письма видала,2
кричал тарантьев захар,2
слезах истерических припадках,2
недостатком настоящей пищи,2
высказывается женщин ласках,2
брат илья ильич,2
спросил илья иванович,2
агафья матвеевна обломов,2
аренду имение взял,2
здравствуйте илья ильич,2
илья ильич здравствуйте,2
спеть casta diva,2
подходите подходите холода,2
грозно спросил обломов,2
свой двойной взгляд,2
двойной взгляд обломова,2
досадно стыдно ошибку,2
очнетесь досадно стыдно,2
придет очнетесь досадно,2
погодите придет очнетесь,2
мечтали погодите придет,2
ждали мечтали погодите,2
casta diva casta,2
кудахтанье наседки писк,2
женщине слезах истерических,2
ребенку женщине слезах,2
ласках ребенку женщине,2
женщин ласках ребенку,2
тяжелое кудахтанье наседки,2
штольц изменился лице,2
улыбкой протянула руку,2
такую строчку делают,2
здоров спросил штольц,2
быстро отворил дверь,2
двести пятьдесят рублей,2
послышался голос матери,2
бумаги илья ильич,2
штольц пристально посмотрел,2
треск кофейной мельницы,2
отвечал обломов обломов,2
пятьдесят рубля копеек,2
рубля копеек ассигнациями,2
вопрос любви жизни,2
спросил взяв руку,2
подопрет голову рукой,2
замахиваясь локтем грудь,2
слава богу штольц,2
обломов обедал дома,2
приложил руку сердцу,2
гостиная родительском доме,2
вывел милостивый государь,2
захар захар захар,2
васька ванька захарка,2
едва слышно прошептал,2
покачал головой обломов,2
штольц покачал головой,2
отрицательно покачала головой,2
ноги стали отекать,2
отца мать няньку,2
прошептал обломов штольц,2
двенадцатью человеками детей,2
ним носился образ,2
мутно поглядел барина,2
хуже горькой редьки,2
лошадь пошатнется ступит,2
пошатнется ступит сторону,2
покачал отрицательно головой,2
возразил иван матвеевич,2
голову илья ильич,2
обломов начал читать,2
быстро скользят ноги,2
должен заемному письму,2
ах батюшка андрей,2
положил илья ильич,2
хозяйство пошло плохо,2
переехал хозяйство пошло,2
брат переехал хозяйство,2
обломов садись пиши,2
илья ильич проснулся,2
андрей жив здоров,2
заметил иван матвеевич,2
илья ильич кушал,2
прогневали господа бога,2
изумлением спросил обломов,2
илья ильич срам,2
михей андреич приходит,2
захар повторил илья,2
выпьем кум выпьем,2
прервал илья ильич,2
щеках рдеют розовые,2
наталья фаддеевна гостить,2
уехала царское село,2
обломов глядел молча,2
головой знак отрицания,2
покачал головой знак,2
реки меду молока,2
текут реки меду,2
посланник выехал рима,2
французский посланник выехал,2
тарантьев надевая шляпу,2
слышишь слышу батюшка,2
извергнуть гражданской среды,2
головы захара мысль,2
прошел слава богу,2
глядя друг друга,2
дверь хозяйской половины,2
хозяйской половины отворилась,2
захар глядя сторону,2
отозвался захар глядя,2
появилась агафья матвеевна,2
зоркого взгляда штольца,2
спросил тарантьев кум,2
ильи ильича барин,2
илья ильич указывая,2
дело законное дело,2
продолжал илья ильич,2
законное дело законное,2
обломов напирая захара,2
цссс зашипел обломов,2
ради бога ольга,2
ах ma tante,2
обе руки голову,2
обвила шею руками,2
сеют жнут продают,2
положила голову плечо,2
куме выборгскую сторону,2
обломов захар сделал,2
илья ильич изволите,2
слышно прошептал захар,2
захар отворил дверь,2
скотина кричал тарантьев,2
покачал головой вздохнул,2
сюда илья ильич,2
квасу илья ильич,2
такую кучу сухарей,2
илья ильич лежал,2
обеими руками плечо,2
жизни илья ильич,2
спросил тарантьев обломов,2
нетерпеливо спросил тарантьев,2
возразил илья ильич,2
