Trigram,Count
сказал иван матвеевич,9
двадцать пять рублей,5
изо дня день,5
сквозь землю провалиться,5
тех пор пока,5
люблю люблю люблю,4
это самом деле,4
яко две помене,4
тысящи яко две,4
заткнутым пояс подолом,3
отвечал иван матвеевич,3
кого ждали ком,3
отозвался иван матвеевич,3
ждали ком мечтали,3
прибавил иван матвеевич,3
прикрыв глаза рукой,3
вами кого ждали,3
это могло случиться,3
взад вперед комнате,3
бог знает это,3
покачал головой вздохнул,3
сказать тебе это,3
выборгскую сторону это,3
должен десять тысяч,3
треск откушенной нитки,3
слава тебе господи,3
пятницу пороховые заводы,3
цепи лай собаки,3
скаканье цепи лай,3
двадцать пять лет,3
оно самом деле,3
план устройства имения,3
понимать друг друга,2
хозяйство пошло плохо,2
десять тысяч заемному,2
рубля двадцать восемь,2
переехал хозяйство пошло,2
брат переехал хозяйство,2
сухой кашель старухи,2
особый дом огород,2
сегодня первое мая,2
посмотрите ка пишет,2
огород отсыпной хлеб,2
марьи михайловны тетки,2
тысяч заемному письму,2
никакого письма видала,2
несколько лет назад,2
быстро скользят ноги,2
ильич должен десять,2
управлял большим имением,2
чрез пять минут,2
отрицательно покачала головой,2
хуже горькой редьки,2
чрез несколько минут,2
улыбкой протянула руку,2
т п это,2
целый день дома,2
четыре времени года,2
спросила глядя таким,2
casta diva casta,2
подходите подходите холода,2
спустил ноги пол,2
молчали некоторое время,2
спеть casta diva,2
эта женщина тебе,2
сквозь решетку забора,2
мутно поглядел барина,2
спросил взяв руку,2
двенадцатью человеками детей,2
это такое сказал,2
видно самом деле,2
быстро отворил дверь,2
спросила глядя лицо,2
жить живут около,2
завел пару лошадей,2
тяжелое кудахтанье наседки,2
кудахтанье наседки писк,2
спросил иван матвеевич,2
иван матвеевич это,2
симпатии ко всему,2
заложив руки назад,2
подопрет голову рукой,2
треск кофейной мельницы,2
возразил иван матвеевич,2
сделал свое дело,2
дом сад павильон,2
такую строчку делают,2
начала рваться цепи,2
хотел поговорить вами,2
послышался голос матери,2
прибавил самом деле,2
свой двойной взгляд,2
лошадь пошатнется ступит,2
гробовой доски это,2
пошатнется ступит сторону,2
покачал отрицательно головой,2
отца мать няньку,2
гостиная родительском доме,2
отца замшевые перчатки,2
ах батюшка иваныч,2
это любовь это,2
б полюбила другого,2
ту минуту лицо,2
это жизнь это,2
прогневали господа бога,2
жизнь это жизнь,2
слова хотел сказать,2
ту другую сторону,2
наш кормилец ильич,2
руки ногтем вниз,2
голой шеей локтями,2
вопрос любви жизни,2
ах боже это,2
едва слышно прошептал,2
ходил четверть полу,2
сказать это такое,2
ноги стали отекать,2
это значит забыть,2
спросил богу правда,2
обеими руками плечо,2
становилось темнее темнее,2
помяни мое слово,2
законное дело законное,2
дело законное дело,2
повторил ильич изволите,2
сколько получит дохода,2
бог даст дождемся,2
скажет бог даст,2
достается наследникам пусть,2
пусть достается наследникам,2
малейшего едва заметного,2
положила голову плечо,2
правда каким негодяем,2
спросил правда каким,2
обе руки голову,2
сеют жнут продают,2
щеках рдеют розовые,2
прощайте прощайте сказали,2
вора падшую женщину,2
извергнуть гражданской среды,2
взял одной рукой,2
какие счеты какие,2
это должно оттого,2
текут реки меду,2
бумажным пакетом мышкой,2
большим бумажным пакетом,2
глядит глядит волосы,2
посланник выехал рима,2
французский посланник выехал,2
такую кучу сухарей,2
слышишь слышу батюшка,2
прошел слава богу,2
куме выборгскую сторону,2
друг другу руки,2
поглядел покачал головой,2
делает dieu sait,2
уехала царское село,2
головой знак отрицания,2
покачал головой знак,2
спросил это жизнь,2
сказал надевая шляпу,2
это прервал ильич,2
стороны тех пор,2
ах ma tante,2
кончил курс ученья,2
дверь хозяйской половины,2
цыплятами свежими грибами,2
восемьсот рублей ассигнациями,2
которая недостатком настоящей,2
любить которая недостатком,2
потребность любить которая,2
бессознательная потребность любить,2
это бессознательная потребность,2
будущая это бессознательная,2
любовь будущая это,2
настоящая любовь будущая,2
люблю настоящая любовь,2
настоящее люблю настоящая,2
ваше настоящее люблю,2
мсье никак ожидала,2
очень очень благодарен,2
старался заглянуть лицо,2
ходить взад вперед,2
ma tante уехала,2
заметил иван матвеевич,2
нему эта грусть,2
ради бога подумайте,2
аренду имение взял,2
держаться одной высоте,2
недостатком настоящей пищи,2
высказывается женщин ласках,2
хозяйской половины отворилась,2
женщин ласках ребенку,2
обвила шею руками,2
законное дело немец,2
это происходило частью,2
сорвала ветку сирени,2
правда правда перебил,2
началось скаканье цепи,2
иван матвеевич наливая,2
глядя друг друга,2
досадно стыдно ошибку,2
очнетесь досадно стыдно,2
придет очнетесь досадно,2
погодите придет очнетесь,2
мечтали погодите придет,2
ком мечтали погодите,2
бог знает отчего,2
сказала ma tante,2
слезах истерических припадках,2
просто слезах истерических,2
женщине просто слезах,2
ребенку женщине просто,2
ласках ребенку женщине,2
замахиваясь локтем грудь,2
реки меду молока,2
взял руку сказал,2
знай свое бабье,2
двести пятьдесят рублей,2
закурил сигару сел,2
деревни прислали тысячу,2
слить две жизни,2
закричу весь мир,2
свое бабье дело,2
сказал махнув рукой,2
уговор слить две,2
двенадцати пяти канцелярии,2
друг друга это,2
пред вами кого,2
вывел милостивый государь,2
таинственный уговор слить,2
пятьдесят четыре рубля,2
четыре рубля двадцать,2
восемь копеек ассигнациями,2
настасью ивановну степаниду,2
две жизни одну,2
двадцать восемь копеек,2
смотрите странно сказала,2
сказала самом деле,2
слава богу сказал,2
десять мест день,2
дожить этакой радости,2
мест день несчастный,2
тех пор знаю,2
приложил руку сердцу,2
боже какое счастье,2
р р ак,2
подождал магазин пошла,1
морская наш дом,1
наш дом провалятся,1
перевернется морская наш,1
магазин пошла сама,1
пошла сама сюда,1
сама сюда марья,1
вся утечет море,1
сюда марья михайловна,1
спросит вся утечет,1
михайловна спросит магазин,1
спросит магазин пошла,1
лодка перевернется морская,1
магазин пошла скажу,1
пошла скажу портнихи,1
море лодка перевернется,1
скажу портнихи портнихи,1
вместе счастье счастье,1
утечет море лодка,1
портнихи портнихи спросит,1
портнихи спросит вся,1
марья михайловна спросит,1
удовлетворительным затем стал,1
сказать подождал магазин,1
полно шутить шучу,1
покойно нарочно забыла,1
сказала покойно нарочно,1
право сказала покойно,1
шучу право сказала,1
шутить шучу право,1
счастье едко проговорил,1
серьезно полно шутить,1
нарочно забыла дома,1
такое серьезно полно,1
нарочно такое серьезно,1
сделала нарочно такое,1
лицо сделала нарочно,1
испуганное лицо сделала,1
сделал испуганное лицо,1
счастье счастье едко,1
забыла дома браслет,1
велела сказать подождал,1
прибавила гордостью дело,1
спросил велела сказать,1
воротится спросил велела,1
дом провалятся разлюбишь,1
сделала человек воротится,1
дело сделала человек,1
гордостью дело сделала,1
выдумаешь прибавила гордостью,1
дома браслет ma,1
магазин выдумаешь прибавила,1
сходить магазин выдумаешь,1
просила сходить магазин,1
tante просила сходить,1
ma tante просила,1
браслет ma tante,1
человек воротится спросил,1
ладони вместе счастье,1
провалятся разлюбишь говорила,1
лицо тяжело скучно,1
обязанностях долге слушала,1
скучно обязанностях долге,1
тяжело скучно обязанностях,1
твердит статочное дело,1
статочное дело шепотом,1
дело шепотом складывая,1
взглядывала лицо тяжело,1
слушала рассеянно томной,1
близко взглядывала лицо,1
плечу близко взглядывала,1
прижималась плечу близко,1
тише прижималась плечу,1
шепотом складывая ладони,1
шла тише прижималась,1
долге слушала рассеянно,1
рассеянно томной улыбкой,1
побыть тобой шла,1
лицо думала другом,1
опасением возбудить тебе,1
торжественно опасением возбудить,1
заговорил торжественно опасением,1
послушай заговорил торжественно,1
другом послушай заговорил,1
думала другом послушай,1
близко лицо думала,1
оно твердит статочное,1
вниз близко лицо,1
глядя вниз близко,1
голову глядя вниз,1
склонив голову глядя,1
улыбкой склонив голову,1
томной улыбкой склонив,1
тобой шла тише,1
хочется побыть тобой,1
разлюбишь говорила брызнула,1
утирая лицо эй,1
лодочнику берегу человек,1
приказывала лодочнику берегу,1
берегу приказывала лодочнику,1
лодочник берегу приказывала,1
эй лодочник берегу,1
лицо эй лодочник,1
ждет утирая лицо,1
человек воротился твердил,1
воротился ждет утирая,1
человек воротился ждет,1
тараща глаза сделал,1
лицо человек воротился,1
брызнула лицо человек,1
говорила брызнула лицо,1
берегу человек воротился,1
воротился твердил пусть,1
говорила хочется побыть,1
саду напротив шла,1
спешишь говорила хочется,1
руку спешишь говорила,1
опираясь руку спешишь,1
тихо опираясь руку,1
шла тихо опираясь,1
напротив шла тихо,1
нею саду напротив,1
твердил пусть настоял,1
пошел нею саду,1
торопливо пошел нею,1
своем торопливо пошел,1
настоял своем торопливо,1
пусть настоял своем,1
складывая ладони вместе,1
глаза сделал испуганное,1
небрежно отвечала послала,1
сказал тараща глаза,1
золотых дел мастеру,1
увидел это поэтический,1
церковь спросила лодочника,1
это церковь спросила,1
мастеру это церковь,1
дел мастеру это,1
это поэтический вместе,1
человеком золотых дел,1
лодочника указывая вдаль,1
поэтический вместе практический,1
дома человеком золотых,1
пошла дома человеком,1
вместе практический официальный,1
забыла пошла дома,1
странно забыла пошла,1
спросила лодочника указывая,1
свадьбе увидел это,1
сюда сказал тараща,1
лодочник смольный нетерпеливо,1
славные вещи ах,1
пошла славные вещи,1
магазин пошла славные,1
сказал магазин пошла,1
нетерпеливо сказал магазин,1
смольный нетерпеливо сказал,1
переспросил лодочник смольный,1
указывая вдаль которая,1
эта переспросил лодочник,1
которая эта переспросил,1
практическую сторону вопроса,1
сторону вопроса свадьбе,1
вопроса свадьбе увидел,1
вдаль которая эта,1
сказала странно забыла,1
нетерпением сказала странно,1
сказала нетерпением сказала,1
вода рука оледенела,1
продолжала глядя сторонам,1
практический официальный шаг,1
весело продолжала глядя,1
боже весело продолжала,1
оледенела боже весело,1
рука оледенела боже,1
холодная вода рука,1
какого сказала нетерпением,1
засмеялась холодная вода,1
вздрогнул засмеялась холодная,1
официальный шаг существенной,1
зажмурился вздрогнул засмеялась,1
лицо зажмурился вздрогнул,1
шаг существенной серьезной,1
глядя сторонам поедем,1
сторонам поедем завтра,1
поедем завтра прямо,1
завтра прямо дома,1
прямо дома прямо,1
дома прямо откуда,1
прямо откуда торопливо,1
откуда торопливо спросил,1
торопливо спросил магазина,1
спросил магазина отвечала,1
магазина отвечала какого,1
отвечала какого магазина,1
какого магазина какого,1
магазина какого саду,1
какого саду сказала,1
саду сказала какого,1
сказала какого сказала,1
вещи ах браслет,1
ах браслет видела,1
вникнул практическую сторону,1
венок любовь любовь,1
туда спросила указывая,1
берега туда спросила,1
проговорил хрупко ненадежно,1
хрупко ненадежно покрывало,1
ненадежно покрывало венок,1
покрывало венок любовь,1
любовь любовь деньги,1
любовь чистое законное,1
любовь деньги жить,1
деньги жить купить,1
жить купить любовь,1
противоположного берега туда,1
купить любовь чистое,1
здания противоположного берега,1
едко проговорил хрупко,1
спросила указывая зонтиком,1
указывая зонтиком противоположную,1
зонтиком противоположную сторону,1
противоположную сторону живешь,1
сторону живешь улице,1
живешь улице покажи,1
улице покажи человек,1
покажи человек спрашивал,1
человек спрашивал небрежно,1
спрашивал небрежно отвечала,1
тебе досаду навлечь,1
отвечала послала браслетом,1
послала браслетом ушел,1
браслетом ушел домой,1
ушел домой сюда,1
домой сюда сказал,1
вглядываясь здания противоположного,1
отвечала вглядываясь здания,1
браслет видела браслете,1
испугать испугался вникнул,1
мало ел рассеянно,1
ел рассеянно угрюмо,1
рассеянно угрюмо глядел,1
угрюмо глядел хотел,1
глядел хотел испугать,1
хотел испугать испугался,1
добавила зорко оглядывала,1
едва отвечала вглядываясь,1
рассеянно добавила зорко,1
перебил рассеянно добавила,1
речь перебил рассеянно,1
браслете речь перебил,1
видела браслете речь,1
испугался вникнул практическую,1
спал мало ел,1
плохо спал мало,1
покинули плохо спал,1
спокойствие покинули плохо,1
мечты спокойствие покинули,1
минуты мечты спокойствие,1
зорко оглядывала местность,1
оглядывала местность вокруг,1
местность вокруг человек,1
вокруг человек приставал,1
человек приставал домой,1
приставал домой пошел,1
домой пошел едва,1
благо минуты мечты,1
законное благо минуты,1
чистое законное благо,1
пошел едва отвечала,1
возбудить тебе досаду,1
долг обязанность сказать,1
досаду навлечь упреки,1
свет простят тебе,1
хочу хочу глазах,1
бога хочу хочу,1
ради бога хочу,1
пойми ради бога,1
тебе пойми ради,1
простят тебе пойми,1
люди свет простят,1
глазах света чиста,1
скажут люди свет,1
это скажут люди,1
говорю это скажут,1
это говорю это,1
говорить договаривала уходя,1
ангел это говорю,1
хочу глазах света,1
света чиста безукоризненна,1
невинный ангел это,1
говорю тебе это,1
ляжет ответственность скажут,1
одного ляжет ответственность,1
несчастлива одного ляжет,1
