Word,Frequency
обломов,910
захар,469
илья,318
спросил,272
ольга,266
штольц,264
ильич,230
жизни,226
обломова,200
глаза,171
тарантьев,157
ним,142
ах,134
дома,132
дело,126
андрей,122
голову,118
знаю,116
отчего,114
лицо,112
думал,110
спросила,108
руку,105
письмо,102
глядя,99
завтра,98
руки,97
отвечал,93
любви,93
делать,92
взгляд,89
хотел,88
сердце,88
боже,85
бог,85
начал,85
прибавил,84
захара,82
глазами,81
тихо,81
говорила,79
знает,78
ольги,78
жить,76
точно,74
продолжал,70
любовь,70
иван,70
прежде,69
одна,68
какие,68
дом,67
головой,67
барина,67
деле,66
анисья,65
друг,65
хозяйка,64
заметил,63
стало,63
доме,62
слова,62
лице,61
дверь,61
свой,60
барин,60
минуту,59
рублей,59
той,59
пошел,58
скажет,57
глазах,57
говорить,57
сердца,56
штольца,56
глаз,56
мысль,56
матвеевич,55
денег,55
счастья,54
деревню,54
друга,53
взглядом,53
слезы,52
агафья,52
знаешь,52
взял,52
место,52
видел,52
рукой,52
дай,51
дела,51
правда,51
деньги,51
едва,51
души,51
ума,50
одно,50
никто,50
оттого,50
отвечала,50
матвеевна,50
ехать,49
отец,49
вперед,49
сторону,49
знать,49
могу,49
говорят,49
обломову,49
счастье,48
прибавила,48
лица,48
ноги,48
мысли,47
повторил,47
квартиру,47
люблю,46
вместе,46
алексеев,46
смотрел,46
другую,45
ольге,45
перебил,44
домой,44
скажу,44
голос,44
комнате,44
человека,44
дня,44
молча,44
стороны,44
медленно,44
сделать,43
должен,43
кум,43
вчера,43
другого,43
ко,43
руками,42
платье,42
иначе,42
молчал,42
подумал,42
ильича,42
комнату,42
знал,42
пусть,42
скучно,42
силы,41
нечего,41
женщина,41
кофе,41
постели,40
мать,40
вопрос,40
всякий,40
любит,40
какое,39
двери,39
возразил,39
сделал,39
писать,39
тетка,38
ночь,38
видно,38
стоит,38
задумчиво,38
сюда,38
обедать,38
право,38
улыбкой,37
которую,37
среди,37
читал,37
ум,37
видишь,37
пожалуй,37
голосом,37
одну,37
бывало,37
думала,36
поди,36
дни,36
утром,36
смотрит,36
покойно,36
быстро,36
шел,36
идти,36
вздохнул,36
ольгу,35
обеда,35
хочу,35
пришел,35
прямо,35
делает,35
деревне,35
придет,34
произнес,34
хозяйки,34
сидит,34
заключил,34
раза,34
слово,34
ушел,34
письма,34
чай,34
братец,34
скажи,34
легко,34
книгу,33
недели,33
деревни,33
ходит,33
хотелось,33
город,33
пошла,33
целый,33
стали,32
брат,32
сон,32
голова,32
думать,32
ребенок,32
захару,32
весело,32
детей,32
женщины,32
которое,32
смотреть,32
головы,32
месте,32
свет,32
своим,32
ужасом,32
глядел,32
заговорил,31
станет,31
господи,31
скорей,31
своем,31
лежит,31
могла,31
вслух,31
постой,31
остановился,31
образ,31
душе,31
пойдем,31
больно,31
ильи,31
границу,30
видеть,30
книги,30
хочется,30
гости,30
таким,30
сквозь,30
ma,30
дал,30
кухню,30
барину,30
часа,30
сел,30
жил,30
голове,30
нос,30
скоро,29
душу,29
видит,29
отца,29
говори,29
утро,29
стол,29
никак,29
комнаты,29
знала,29
бога,29
откуда,29
обе,29
ногу,28
слушал,28
посмотреть,28
ольгой,28
вздохом,28
строго,28
места,28
жизнью,28
радости,28
непременно,28
слезами,28
ответа,27
свете,27
полно,27
однакож,27
смотри,27
идет,27
матери,27
смотрела,27
делал,27
вместо,27
план,27
обломовке,27
казалось,27
подле,27
живо,27
читать,27
иванович,27
задумался,27
другом,27
хотела,26
утра,26
велел,26
досадой,26
разные,26
чувство,26
забыл,26
твердил,26
любить,26
ночью,26
никому,26
вечером,26
сидел,26
мере,26
пристально,25
ясно,25
например,25
своему,25
тяжело,25
взять,25
кухне,25
часов,25
tante,25
указывая,25
неделю,25
видал,25
сирени,25
батюшка,25
людей,25
ногой,25
михей,25
сапоги,25
взглянул,25
воли,25
минуты,25
делается,25
счастлив,24
конца,24
долг,24
напрасно,24
чувства,24
братца,24
штольцу,24
мое,24
вопросы,24
уехал,24
шляпу,24
грудь,24
такого,24
стола,24
дети,24
пальцем,24
спрашивал,24
хочет,24
выдумал,24
богу,24
угол,23
стала,23
спросить,23
слез,23
хотите,23
саду,23
слышно,23
хлеба,23
слава,23
сергеевна,23
вечера,23
руках,23
молчала,23
робко,23
спать,23
разговор,23
отозвался,23
ужели,23
стараясь,23
никакого,23
спину,23
дворник,23
илье,23
мужа,23
решительно,23
нашел,23
горе,23
катя,23
крайней,23
слов,23
стороне,23
окна,23
решил,23
говорили,23
мужики,23
тотчас,23
андреич,23
хуже,23
ходить,23
ответ,23
век,22
неловко,22
собаки,22
одном,22
иваныч,22
ради,22
уме,22
страсти,22
язык,22
живет,22
страшно,22
андрея,22
плохо,22
здоровье,22
плакать,22
забыла,22
изумлением,22
тетки,22
бумаги,22
глубоко,22
минут,22
груди,22
проворно,21
сделает,21
усмехнулась,21
положил,21
навсегда,21
ворот,21
глядела,21
обед,21
вовсе,21
лениво,21
жена,21
стану,21
свадьба,21
грусть,21
вошел,21
другим,21
ног,21
шаг,21
шепотом,21
равно,21
пишет,21
думаю,21
воскресенье,21
старосты,21
диван,21
сказали,21
столе,21
взгляда,21
видела,21
подумать,21
боюсь,21
неделе,21
час,21
нежели,21
взяв,21
пыль,21
пойду,20
поедем,20
вообще,20
новый,20
столько,20
спрашивала,20
сне,20
новую,20
видеться,20
словом,20
говорите,20
лошадь,20
стороной,20
лицу,20
тишина,20
говорю,20
рук,20
ходил,20
идеал,20
квартиры,20
диване,20
имение,20
сил,20
ждал,20
заботы,20
халат,20
торопливо,20
староста,20
спит,20
заметила,20
закричал,20
передней,20
движения,20
вслед,20
слышал,20
знают,19
лицом,19
такую,19
поглядел,19
солнце,19
знаете,19
дворе,19
таких,19
воображение,19
часть,19
чувствовал,19
слышишь,19
делают,19
доктор,19
квартире,19
сильно,19
притом,19
ласково,19
нетерпением,19
немец,19
душа,19
коли,19
молчание,19
писал,19
шла,19
продолжала,19
всякого,19
скорее,19
временам,19
никакой,19
тетке,19
обломовку,19
мгновенно,19
небрежно,19
всей,19
мечты,19
цель,19
гулять,18
чрез,18
прощайте,18
нынче,18
какую,18
самолюбие,18
повторила,18
вспомнил,18
ступай,18
видите,18
прощай,18
слушать,18
обломовым,18
большим,18
взглянуть,18
ильичу,18
собака,18
тише,18
права,18
мир,18
кресло,18
живут,18
пела,18
господа,18
ворота,18
слегка,18
выше,18
послушай,18
удивлением,18
полу,18
крепко,18
раздумье,18
новые,18
каких,18
стыдно,18
всякой,18
краски,17
выйдет,17
прошел,17
рука,17
брови,17
месяца,17
пятьдесят,17
подал,17
готов,17
сын,17
окно,17
сад,17
