id,Word,Frequency
1,том,616
2,1,165
3,разбойник,88
4,ехали,33
5,мы,2640
6,к,9746
7,макарью,22
8,на,24497
9,ярмарку,44
10,тарантас,33
11,был,2970
12,огромный,11
13,тамбовский,11
14,сидело,11
15,нас,2343
16,пятеро,33
17,я,19140
18,купец,341
19,из,5258
20,нижнего,55
21,ломова,22
22,приказчик,121
23,одного,429
24,астраханского,11
25,торгового,22
26,дома,858
27,два,1100
28,молодца,88
29,состоящие,11
30,при,1331
31,этом,1045
32,же,6985
33,приказчике,22
34,да,13387
35,торговый,22
36,крестьянин,77
37,села,297
38,головинщины,11
39,и,64592
40,сидели,132
41,сзади,198
42,под,2365
43,будкою,22
44,молодцы,33
45,насупротив,33
46,а,22715
47,облучке,11
48,с,19580
49,ямщиком,11
50,хотели,77
51,ехать,242
52,почтовых,33
53,побоялись,22
54,задержек,11
55,по,7161
56,пской,22
57,губернии,275
58,где,2365
59,ту,440
60,пору,330
61,почтовые,11
62,станции,33
63,держал,143
64,генерал,121
65,цыганов,11
66,вымышленная,11
67,фамилия,44
68,он,10989
69,служил,33
70,предводителем,11
71,все,9878
72,больше,1111
73,охотился,11
74,за,9658
75,лисицами,11
76,разным,22
77,красным,66
78,зверем,11
79,до,2827
80,дел,88
81,не,35376
82,доходил,33
83,люди,979
84,его,9020
85,надеясь,22
86,барскую,11
87,защиту,33
88,творили,11
89,что,25377
90,в,33088
91,ярмарочную,11
92,им,1232
93,была,3069
94,лафа,22
95,проезжих,11
96,много,946
97,купечество,44
98,народ,605
99,капитальный,11
100,незадорный,11
101,твори,11
102,ним,1342
103,хочешь,638
104,рубль,55
105,дорогою,66
106,стоит,495
107,потому,1815
108,всегда,594
109,наверстать,11
110,надеется,11
111,задоруто,11
112,цыгановских,11
113,станциях,11
114,боялись,66
115,«нам,22
116,бывало,836
117,говорят,1089
118,книжка,11
119,плевать,33
120,хотим,55
121,эту,935
122,книжкуто,11
123,пиши,44
124,душа,220
125,пожелает,11
126,три,781
127,рубля,33
128,—,74734
129,вот,4862
130,тебе,3509
131,новую,99
132,книжку,77
133,столу,154
134,прилепят»,11
135,зная,99
136,это,11825
137,порешили,44
138,сдаточных,11
139,езда,33
140,тоже,1672
141,пускай,99
142,сахарная,11
143,однако,506
144,лучше,759
145,крайней,88
146,мере,110
147,неприятностей,22
148,ожидалось,11
149,меньше,99
150,погода,77
151,стояла,374
152,ясная,22
153,сухая,33
154,дорога,121
155,твое,154
156,шоссе,22
157,только,5445
158,колеса,22
159,постукивают,11
160,обыкновению,99
161,скоро,330
162,между,484
163,собой,319
164,перезнакомились,11
165,сблизились,11
166,как,13365
167,способны,33
168,сближаться,11
169,дороге,220
170,русские,55
171,разговоры,66
172,у,10076
173,ни,3531
174,минуту,550
175,прекращались,22
176,так,9240
177,который,473
178,постоянно,176
179,укладывался,22
180,спать,440
181,закрывал,11
182,лицо,506
183,синим,11
184,бумажным,44
185,платком,121
186,крепко,385
187,сердился,44
188,чтото,737
189,бурчал,11
190,себе,1969
191,нос,154
192,впрочем,308
193,езде,11
194,привала,11
195,сейчас,1254
196,сам,1463
197,вступал,11
198,разговор,154
199,всего,891
200,нашего,352
201,дорожного,11
202,общества,99
203,более,572
204,всех,1067
205,болтал,22
206,даже,1837
207,надоедал,11
208,своею,319
209,болтовнею,11
210,один,1595
211,ехавших,11
212,астраханским,11
213,приказчиком,33
214,молодцов,22
215,гвоздиковым,11
216,звали,121
217,превеселый,11
218,парень,297
219,такое,1529
220,хорошее,44
221,то,5016
222,чтоб,1925
223,очень,2233
224,умное,22
225,открытое,22
226,веселое,33
227,словом,286
228,поминутно,11
229,подтрунивал,11
230,над,1232
231,своим,737
232,товарищем,33
233,глаза,1045
234,него,2354
235,были,1331
236,такие,484
237,чистые,11
238,смех,132
239,такой,1276
240,задушевный,22
241,становилось,77
242,досадно,33
243,глядя,330
244,беспечную,11
245,веселость,33
246,другой,1012
247,молодец,242
