bigram,frequency
уважаемые коллеги,18
российской федерации,9
считаю необходимым,7
прошу правительство,7
прежде всего,7
наших граждан,6
связи предлагаю,6
государственной думы,5
председателя правительства,5
прожиточного минимума,5
нужно сделать,4
имею виду,4
тысяч рублей,4
субъектах федерации,4
федерального бюджета,4
января года,4
нужно создать,4
нашей страны,4
федеральному собранию,4
рождении второго,3
большую ответственность,3
взять большую,3
должны стать,3
будут получать,3
году нужно,3
обращаю внимание,3
декабря года,3
это подчеркнуть,3
социального контракта,3
хочу это,3
материнский капитал,3
закрепить конституции,3
второго ребенка,3
основной закон,3
территории страны,3
граждан страны,3
середине наступающего,3
двумя детьми,3
совета федерации,3
великой отечественной,3
хочу подчеркнуть,3
президента российской,3
субъектов федерации,3
всей территории,3
это значит,3
наступающего десятилетия,3
время великой,2
федеральных министров,2
советом федерации,2
консультаций советом,2
снижение бедности,2
итогам консультаций,2
это все,2
эта система,2
будем выплачивать,2
каждом регионе,2
конституции российской,2
тех находится,2
должны сделать,2
страны мало,2
прошлого года,2
отечественной войны,2
эта мера,2
ветвями власти,2
роль значение,2
семьи двумя,2
трех семи,2
лет включительно,2
семи лет,2
конституционного суда,2
низкими доходами,2
главы субъектов,2
доходами это,2
текущего года,2
семьи чьи,2
чьи доходы,2
доходы превышают,2
аплодисменты это,2
сих пор,2
ежемесячные выплаты,2
поправок конституции,2
ребенка месяц,2
хочу сказать,2
среднем это,2
кроме того,2
конца года,2
выйти работу,2
помочь регионам,2
нужно идти,2
поддержки семьи,2
предлагаю предусмотреть,2
детей возрасте,2
возрасте трех,2
это очень,2
ваше внимание,2
молодых людей,2
формирование правительства,2
больше году,2
однако повторю,2
каждой стране,2
национальные проекты,2
прошлом году,2
общественных объединений,2
приоритетном порядке,2
бюджетных мест,2
зале это,2
менее пяти,2
связи считаю,2
миллиардов рублей,2
развития россии,2
полном объеме,2
должны получить,2
году должны,2
первичном звене,2
должны создать,2
коллеги хочу,2
коем случае,2
нужно запустить,2
налоговые условия,2
банка россии,2
каждого человека,2
поправки которые,2
национальную экономику,2
последние годы,2
изменить порядок,2
оплаты труда,2
реального сектора,2
сектора экономики,2
вредных выбросов,2
целевое обучение,2
нам предстоит,2
дальнейшего развития,2
речь идет,2
материнского капитала,2
полной мере,2
нашего общества,2
должность президента,2
этом конечно,2
горячим питанием,2
вместе тем,2
других сферах,2
таким образом,2
которыми сталкивается,2
семья получит,2
материнскому капиталу,2
связи хотел,2
число рождений,2
государственной думе,2
решение рождении,2
ответственность формирование,2
чрезвычайно важно,2
меры поддержки,2
бесплатное горячее,2
конституции россии,2
российского общества,2
права граждан,2
семья это,2
очень важно,2
дали результат,2
поддержки семей,2
это означает,2
федерального регионального,2
должны обеспечены,2
территории россии,2
сентября года,2
советского союза,2
и безусловно,2
страны именно,2
коэффициент рождаемости,2
достойной жизни,2
нам нужно,2
нам удалось,2
федерации депутаты,2
всей стране,2
десять лет,2
того сколько,2
пять десять,2
зависит того,2
работы правительства,2
члены совета,2
развития страны,2
послание президента,2
уровней власти,2
нашем обществе,2
которых требует,2
депутаты государственной,2
наша память,1
подвиг наша,1
дань огромного,1
развитию достижению,1
чтим подвиг,1
огромного уважения,1
победителей чтим,1
уважения героическому,1
память дань,1
нашему будущему,1
героическому прошлому,1
прошлому служит,1
нашим детям,1
скажем нашим,1
иначе скажем,1
победе иначе,1
правду победе,1
защитить правду,1
обязаны защитить,1
единство обязаны,1
наше единство,1
укрепляет наше,1
нас укрепляет,1
вдохновляет нас,1
будущему вдохновляет,1
гордимся поколением,1
служит нашему,1
поколением победителей,1
святой праздник,1
достижению самых,1
людей разных,1
уважения старшим,1
