,TF-IDF
на,0.3625632407104129
не,0.32835916139810983
что,0.2907346741545764
это,0.2633714107047339
для,0.24284896311735205
по,0.19154284414889738
мы,0.17102039656151552
но,0.13681631724921242
должны,0.12313468552429119
уже,0.11971427759306087
россии,0.11629386966183056
страны,0.10603264586813962
как,0.09919183000567901
года,0.08893060621198808
то,0.08893060621198808
за,0.08893060621198808
федерации,0.08551019828075776
все,0.08551019828075776
при,0.08551019828075776
этом,0.08208979034952746
их,0.08208979034952746
нужно,0.08208979034952746
граждан,0.07524897448706683
только,0.07524897448706683
всех,0.07182856655583653
чтобы,0.07182856655583653
уважаемые,0.07182856655583653
году,0.07182856655583653
быть,0.06840815862460621
коллеги,0.06840815862460621
так,0.06840815862460621
которые,0.0649877506933759
считаю,0.0649877506933759
том,0.061567342762145594
его,0.061567342762145594
от,0.061567342762145594
будет,0.061567342762145594
или,0.061567342762145594
сегодня,0.05814693483091528
нас,0.05814693483091528
семьи,0.05814693483091528
более,0.05814693483091528
связи,0.05472652689968497
конституции,0.05472652689968497
этой,0.05472652689968497
они,0.05130611896845466
еще,0.05130611896845466
также,0.05130611896845466
до,0.047885711037224346
сделать,0.047885711037224346
прошу,0.047885711037224346
во,0.047885711037224346
предлагаю,0.047885711037224346
есть,0.047885711037224346
сейчас,0.047885711037224346
людей,0.047885711037224346
конечно,0.047885711037224346
больше,0.04446530310599404
развития,0.04446530310599404
детей,0.04446530310599404
жизни,0.04446530310599404
здесь,0.04446530310599404
ребенка,0.04446530310599404
именно,0.04446530310599404
тем,0.04446530310599404
хочу,0.04104489517476373
этого,0.04104489517476373
тех,0.04104489517476373
бы,0.04104489517476373
всего,0.04104489517476373
правительства,0.04104489517476373
причем,0.037624487243533414
такой,0.037624487243533414
нам,0.037624487243533414
власти,0.037624487243533414
россия,0.037624487243533414
где,0.037624487243533414
значит,0.037624487243533414
же,0.034204079312303105
даже,0.034204079312303105
лет,0.034204079312303105
регионов,0.034204079312303105
рублей,0.034204079312303105
решения,0.034204079312303105
может,0.034204079312303105
ее,0.034204079312303105
создать,0.034204079312303105
могут,0.034204079312303105
наших,0.034204079312303105
время,0.034204079312303105
государственной,0.034204079312303105
тысяч,0.030783671381072797
ни,0.030783671381072797
очень,0.030783671381072797
люди,0.030783671381072797
когда,0.030783671381072797
перед,0.030783671381072797
ответственность,0.030783671381072797
да,0.030783671381072797
если,0.030783671381072797
российской,0.030783671381072797
поддержки,0.030783671381072797
будут,0.030783671381072797
нашей,0.030783671381072797
внимание,0.030783671381072797
из,0.030783671381072797
выплаты,0.030783671381072797
должен,0.030783671381072797
чем,0.027363263449842485
прежде,0.027363263449842485
вы,0.027363263449842485
человека,0.027363263449842485
нельзя,0.027363263449842485
систему,0.027363263449842485
правительство,0.027363263449842485
кто,0.027363263449842485
общества,0.027363263449842485
потому,0.027363263449842485
процентов,0.027363263449842485
свою,0.027363263449842485
просто,0.027363263449842485
вопрос,0.027363263449842485
работу,0.027363263449842485
стране,0.027363263449842485
менее,0.027363263449842485
было,0.027363263449842485
надо,0.027363263449842485
этот,0.027363263449842485
2021,0.027363263449842485
всей,0.027363263449842485
2020,0.027363263449842485
числе,0.027363263449842485
семья,0.027363263449842485
здравоохранения,0.023942855518612173
обеспечить,0.023942855518612173
работы,0.023942855518612173
возможность,0.023942855518612173
раз,0.023942855518612173
получить,0.023942855518612173
безусловно,0.023942855518612173
государства,0.023942855518612173
территории,0.023942855518612173
мест,0.023942855518612173
необходимым,0.023942855518612173
должна,0.023942855518612173
подчеркнуть,0.023942855518612173
такие,0.023942855518612173
роль,0.023942855518612173
почти,0.023942855518612173
право,0.023942855518612173
повторю,0.023942855518612173
случае,0.023942855518612173
закрепить,0.023942855518612173
семей,0.023942855518612173
доходы,0.023942855518612173
происходит,0.020522447587381865
особенно,0.020522447587381865
вместе,0.020522447587381865
изменения,0.020522447587381865
себя,0.020522447587381865
должно,0.020522447587381865
сфере,0.020522447587381865
он,0.020522447587381865
включая,0.020522447587381865
возможности,0.020522447587381865
условия,0.020522447587381865
минимума,0.020522447587381865
мире,0.020522447587381865
федерального,0.020522447587381865
своей,0.020522447587381865
десятилетия,0.020522447587381865
тоже,0.020522447587381865
страна,0.020522447587381865
развитие,0.020522447587381865
интернет,0.020522447587381865
второго,0.020522447587381865
решение,0.020522447587381865
стать,0.020522447587381865
об,0.020522447587381865
нашего,0.020522447587381865
каждого,0.020522447587381865
хорошо,0.020522447587381865
после,0.020522447587381865
президента,0.020522447587381865
января,0.020522447587381865
эту,0.020522447587381865
поэтому,0.020522447587381865
целом,0.020522447587381865
необходимо,0.017102039656151553
них,0.017102039656151553
такая,0.017102039656151553
постоянно,0.017102039656151553
подчеркну,0.017102039656151553
