,TF-IDF
не,0.41972072016330714
что,0.4002729518176377
он,0.3624398822805754
на,0.3268241355002639
как,0.19960524233168062
его,0.19119789354566677
то,0.17863306459074496
она,0.13433280367982578
но,0.1333165307496483
все,0.13239264626766875
это,0.12389290903345694
было,0.12112125558751831
так,0.09770078396933685
сказал,0.09756220129703992
за,0.09382046914502276
по,0.09326613845583503
из,0.09017112544120356
же,0.0876304431157598
ему,0.08532073191081095
от,0.0843968474288314
ее,0.08301102070586208
только,0.07756010226218277
был,0.07571233329822369
бы,0.07113910511242494
пьер,0.06698162494351699
князь,0.0637018350324896
для,0.06263936787821313
еще,0.05704986676223688
когда,0.05510970935007984
вы,0.05081364650887495
чтобы,0.047256691253253706
да,0.044854591600106894
они,0.044854591600106894
него,0.04439264935911712
была,0.044023095566325304
теперь,0.044023095566325304
того,0.04369973599763246
были,0.043422570653038596
ни,0.04249868617105906
ты,0.0418057728095744
наташа,0.04051233453480303
себя,0.03926509048413065
этого,0.038618371346744965
мне,0.038525982898547015
андрей,0.03764829264066644
или,0.037186350399676674
их,0.03704776772737974
том,0.0367244081586869
быть,0.036585825486389965
уже,0.03589291212490531
сказала,0.03556955255621247
время,0.03519999876342065
сноска,0.03399894893684724
до,0.0330750644548677
себе,0.03238215109338304
которые,0.03219737419698713
говорил,0.0316430435077994
ей,0.031134907042710654
нет,0.030765353249918838
который,0.03071915902581986
во,0.030303411008929065
чем,0.030257216784830086
опять,0.03021102256073111
вот,0.029933857216137248
de,0.029102361182355655
этот,0.02905616695825668
тем,0.028594224717266907
меня,0.028594224717266907
ростов,0.028455642044969975
ну,0.027947505579881227
княжна,0.02790131135578225
всех,0.02771653445938634
мы,0.02767034023528736
ничего,0.027624146011188386
под,0.02720839799429759
потому,0.02688503842560475
после,0.026423096184614976
своей,0.026376901960516
очень,0.02600734816772418
марья,0.02517585213394259
есть,0.02517585213394259
ли,0.02499107523754668
лицо,0.024621521444754865
при,0.024159579203765092
вдруг,0.023974802307369182
граф,0.02383621963507225
ним,0.02369763696277532
человек,0.023420471618181456
один,0.023281888945884524
будто,0.02323569472178555
ежели,0.02300472360129066
будет,0.022635169808498844
может,0.022404198688003956
раз,0.022311810239806003
пьера,0.02221942179160805
где,0.021896062222915208
надо,0.021803673774717255
людей,0.021803673774717255
эти,0.021480314206024413
ней,0.02124934308552953
князя,0.02115695463733157
перед,0.02087978929273771
глаза,0.020833595068638733
мог,0.020510235499945892
николай,0.020325458603549982
кто,0.020279264379451004
более,0.020279264379451004
своего,0.02023307015535203
сам,0.01954015679386737
другой,0.01954015679386737
свою,0.019309185673372482
без,0.019262991449273507
им,0.019262991449273507
несколько,0.01917060300107555
дело,0.018985826104679644
вас,0.01884724343238271
со,0.018662466535986803
всегда,0.018616272311887824
нее,0.018431495415491914
жизни,0.018246718519096008
vous,0.018108135846799076
день,0.01755380515761135
которое,0.017415222485314418
между,0.017230445588918508
человека,0.017091862916621577
которой,0.016676114899730782
этом,0.016629920675631803
руку,0.016445143779235893
которого,0.01639894955513692
нибудь,0.015937007314147145
вам,0.015798424641850214
через,0.015752230417751235
слова,0.015567453521355327
больше,0.015567453521355327
про,0.015475065073157372
le,0.015197899728563509
казалось,0.015151705504464532
денисов,0.015105511280365556
думал,0.015105511280365556
мой,0.015059317056266577
люди,0.015059317056266577
графиня,0.0150131228321676
хорошо,0.014966928608068624
la,0.01482834593577169
этой,0.014782151711672714
кутузов,0.014735957487573738
никогда,0.01468976326347476
наполеон,0.014643569039375783
прежде,0.014597374815276806
знал,0.014412597918880896
этих,0.01436640369478192
потом,0.01436640369478192
об,0.014274015246583964
соня,0.014274015246583964
них,0.014227821022484988
голову,0.014181626798386011
тому,0.014181626798386011
свои,0.014135432574287033
est,0.013996849901990101
et,0.013950655677891124
нему,0.013904461453792146
тот,0.013904461453792146
своим,0.013904461453792146
над,0.01385826722969317
которая,0.013719684557396238
два,0.013719684557396238
даже,0.013673490333297261
стал,0.013673490333297261
говорить,0.013627296109198283
спросил,0.013627296109198283
свое,0.01353490766100033
тогда,0.013211548092307488
друг,0.013165353868208511
говорила,0.013119159644109535
que,0.013072965420010556
офицер,0.013072965420010556
минуту,0.013072965420010556
войска,0.01284199429951567
там,0.01284199429951567
своих,0.01284199429951567
всем,0.012749605851317717
которых,0.012657217403119762
всего,0.012657217403119762
тех,0.012611023179020785
эту,0.012611023179020785
сказать,0.012564828954921807
солдат,0.01251863473082283
долохов,0.01251863473082283
видел,0.01251863473082283
назад,0.012426246282624875
несмотря,0.012380052058525898
отвечал,0.012333857834426922
хотел,0.012287663610327943
котором,0.012287663610327943
говорили,0.012241469386228967
вместе,0.012241469386228967
одно,0.012241469386228967
чего,0.012149080938031012
je,0.012149080938031012
руки,0.012056692489833057
нужно,0.012056692489833057
андрея,0.011871915593437149
глядя,0.011779527145239194
лица,0.011779527145239194
государь,0.011733332921140217
вперед,0.011733332921140217
армии,0.011733332921140217
те,0.011640944472942262
знаю,0.011548556024744309
тебе,0.011548556024744309
глазами,0.011456167576546354
голос,0.011409973352447377
французов,0.011363779128348399
нем,0.011363779128348399
нельзя,0.011317584904249422
тоже,0.011317584904249422
пьеру,0.011271390680150446
которую,0.011225196456051467
времени,0.010948031111457604
эта,0.010855642663259649
москве,0.010717059990962717
улыбкой,0.010624671542764764
тут,0.010624671542764764
хотя,0.010439894646368854
одного,0.010439894646368854
ваше,0.010255117749972946
очевидно,0.010208923525873968
можно,0.010162729301774991
les,0.010116535077676014
государя,0.009931758181280104
анна,0.009931758181280104
видимо,0.009885563957181128
много,0.009839369733082151
вышел,0.00970078706078522
ах,0.009654592836686241
куда,0.009608398612587265
го,0.009562204388488288
дома,0.009562204388488288
сражения,0.009562204388488288
кроме,0.00951601016438931
чувство,0.009469815940290333
должен,0.009423621716191355
той,0.009377427492092378
если,0.009377427492092378
сделать,0.009331233267993401
собой,0.009331233267993401
жизнь,0.009285039043894423
могла,0.009285039043894423
il,0.009285039043894423
смотрел,0.009285039043894423
совершенно,0.009285039043894423
подошел,0.009238844819795446
mon,0.00919265059569647
наполеона,0.009146456371597491
нам,0.009100262147498515
графа,0.009100262147498515
улыбаясь,0.009054067923399538
старый,0.009054067923399538
ведь,0.009054067923399538
одна,0.009054067923399538
москвы,0.009054067923399538
чувствовал,0.00900787369930056
этим,0.008915485251102606
двери,0.008823096802904652
петя,0.008823096802904652
нас,0.008730708354706697
одной,0.008730708354706697
никто,0.008638319906508743
первый,0.008592125682409765
совсем,0.008592125682409765
свой,0.00849973723421181
говорит,0.00849973723421181
пошел,0.00849973723421181
стоял,0.00849973723421181
тотчас,0.008453543010112833
ростова,0.008453543010112833
генерал,0.008453543010112833
такое,0.008453543010112833
письмо,0.008361154561914878
князю,0.008361154561914878
отца,0.008361154561914878
особенно,0.008361154561914878
тебя,0.008361154561914878
точно,0.008314960337815902
солдаты,0.008314960337815902
борис,0.008268766113716925
разговор,0.008222571889617947
какой,0.008222571889617947
могу,0.00817637766551897
голосом,0.00817637766551897
долго,0.00817637766551897
почти,0.008130183441419993
против,0.008083989217321015
своем,0.008083989217321015
здесь,0.008083989217321015
всю,0.008083989217321015
давно,0.008083989217321015
лице,0.008083989217321015
видеть,0.008037794993222038
ту,0.007991600769123062
уж,0.007991600769123062
три,0.007991600769123062
делать,0.007945406545024084
василий,0.007945406545024084
элен,0.007899212320925107
быстро,0.007899212320925107
комнаты,0.00785301809682613
которым,0.00785301809682613
других,0.007806823872727152
обратился,0.007806823872727152
другие,0.007760629648628175
друга,0.007760629648628175
своему,0.00766824120043022
кого,0.007622046976331244
вопрос,0.007622046976331244
москву,0.007622046976331244
лошадь,0.007622046976331244
un,0.007622046976331244
выражение,0.007529658528133289
головой,0.0074372700799353346
ne,0.0074372700799353346
подумал,0.0074372700799353346
своими,0.0074372700799353346
должно,0.007391075855836357
проговорил,0.007391075855836357
сделал,0.00734488163173738
приехал,0.007298687407638403
сейчас,0.007298687407638403
такой,0.007298687407638403
та,0.007206298959440448
французы,0.007160104735341471
наташи,0.007160104735341471
стороны,0.007160104735341471
сидел,0.007160104735341471
pas,0.007160104735341471
видно,0.007160104735341471
лицом,0.007113910511242494
дела,0.007067716287143516
лошади,0.00702152206304454
впереди,0.00702152206304454
ехать,0.00702152206304454
ce,0.006975327838945562
дверь,0.006929133614846585
вошел,0.006929133614846585
re,0.006882939390747607
весь,0.006882939390747607
продолжал,0.006882939390747607
лучше,0.006836745166648631
комнате,0.006744356718450676
кутузова,0.006698162494351699
вся,0.006698162494351699
дня,0.006698162494351699
денисова,0.006698162494351699
остановился,0.006605774046153744
прямо,0.006605774046153744
анатоль,0.006559579822054767
вокруг,0.006559579822054767
взял,0.00651338559795579
силы,0.00651338559795579
стали,0.00651338559795579
таким,0.006467191373856812
