,TF-IDF
уважаемые коллеги,0.18513463583626538
не только,0.13370834810396945
этой связи,0.12342309055751025
при этом,0.11313783301105106
мы должны,0.10285257546459188
российской федерации,0.09256731791813269
том числе,0.0822820603716735
не менее,0.0822820603716735
прошу правительство,0.07199680282521431
считаю необходимым,0.07199680282521431
прежде всего,0.07199680282521431
должны быть,0.07199680282521431
тех кто,0.07199680282521431
считаю что,0.07199680282521431
потому что,0.06171154527875512
наших граждан,0.06171154527875512
связи предлагаю,0.06171154527875512
том что,0.06171154527875512
2020 года,0.05142628773229594
государственной думы,0.05142628773229594
председателя правительства,0.05142628773229594
прожиточного минимума,0.05142628773229594
может быть,0.05142628773229594
это не,0.05142628773229594
января 2020,0.05142628773229594
ответственность за,0.05142628773229594
то есть,0.05142628773229594
хотел бы,0.05142628773229594
выплаты на,0.04114103018583675
федерального бюджета,0.04114103018583675
субъектах федерации,0.04114103018583675
не может,0.04114103018583675
условия для,0.04114103018583675
федеральному собранию,0.04114103018583675
уже сказал,0.04114103018583675
то что,0.04114103018583675
нужно сделать,0.04114103018583675
тысяч рублей,0.04114103018583675
что происходит,0.04114103018583675
нашей страны,0.04114103018583675
вместе тем,0.04114103018583675
зависит от,0.04114103018583675
об этом,0.04114103018583675
при рождении,0.04114103018583675
имею виду,0.04114103018583675
2021 году,0.04114103018583675
не было,0.04114103018583675
все это,0.04114103018583675
2021 года,0.04114103018583675
нужно создать,0.04114103018583675
на основе,0.03085577263937756
тем не,0.03085577263937756
хочу подчеркнуть,0.03085577263937756
хочу это,0.03085577263937756
это подчеркнуть,0.03085577263937756
наступающего десятилетия,0.03085577263937756
мы видим,0.03085577263937756
выйти на,0.03085577263937756
всех граждан,0.03085577263937756
еще раз,0.03085577263937756
большую ответственность,0.03085577263937756
правительства всех,0.03085577263937756
президента российской,0.03085577263937756
для граждан,0.03085577263937756
граждан страны,0.03085577263937756
должен быть,0.03085577263937756
материнский капитал,0.03085577263937756
но это,0.03085577263937756
мы уже,0.03085577263937756
совета федерации,0.03085577263937756
великой отечественной,0.03085577263937756
право на,0.03085577263937756
середине наступающего,0.03085577263937756
во время,0.03085577263937756
во всех,0.03085577263937756
россии будет,0.03085577263937756
территории страны,0.03085577263937756
