trigram,frequency
середине наступающего десятилетия,3
взять большую ответственность,3
президента российской федерации,3
хочу это подчеркнуть,3
всей территории страны,3
семьи двумя детьми,2
должность президента российской,2
консультаций советом федерации,2
великой отечественной войны,2
реального сектора экономики,2
главы субъектов федерации,2
возрасте трех семи,2
нашей страны мало,2
ответственность формирование правительства,2
детей возрасте трех,2
чьи доходы превышают,2
пять десять лет,2
семьи чьи доходы,2
рождении второго ребенка,2
время великой отечественной,2
зависит того сколько,2
итогам консультаций советом,2
большую ответственность формирование,2
совета федерации депутаты,2
трех семи лет,2
семи лет включительно,2
коллеги хочу подчеркнуть,2
уважаемые коллеги хочу,2
члены совета федерации,2
конституции российской федерации,2
федерации депутаты государственной,2
депутаты государственной думы,2
вдохновляет нас укрепляет,1
самый великий святой,1
будущему вдохновляет нас,1
великий святой праздник,1
победе иначе скажем,1
нашему будущему вдохновляет,1
служит нашему будущему,1
святой праздник гордимся,1
праздник гордимся поколением,1
правду победе иначе,1
гордимся поколением победителей,1
поколением победителей чтим,1
победителей чтим подвиг,1
чтим подвиг наша,1
защитить правду победе,1
обязаны защитить правду,1
подвиг наша память,1
нас укрепляет наше,1
память дань огромного,1
дань огромного уважения,1
единство обязаны защитить,1
огромного уважения героическому,1
уважения героическому прошлому,1
наше единство обязаны,1
укрепляет наше единство,1
героическому прошлому служит,1
прошлому служит нашему,1
наша память дань,1
января года послание,1
мая самый великий,1
традиций взаимопомощи уважения,1
возрастов воплощением традиций,1
поколений возрастов воплощением,1
разных поколений возрастов,1
людей разных поколений,1
вообще людей разных,1
студентов вообще людей,1
школьников студентов вообще,1
объединяет школьников студентов,1
которое объединяет школьников,1
движение которое объединяет,1
волонтерское движение которое,1
становится волонтерское движение,1
массовым становится волонтерское,1
действительно массовым становится,1
важно действительно массовым,1
воплощением традиций взаимопомощи,1
взаимопомощи уважения старшим,1
россии мая самый,1
уважения старшим поколениям,1
войне россии мая,1
отечественной войне россии,1
победы великой отечественной,1
летие победы великой,1
отмечать летие победы,1
будем отмечать летие,1
году будем отмечать,1
победы году будем,1
волонтеры победы году,1
проект волонтеры победы,1
стал проект волонтеры,1
истории стал проект,1
нашей истории стал,1
