word,frequency
это,77
должны,36
россии,34
страны,30
года,26
федерации,25
нужно,24
граждан,22
году,21
уважаемые,21
коллеги,20
которые,19
считаю,19
семьи,16
связи,16
конституции,16
также,15
предлагаю,14
прошу,14
людей,14
сделать,14
именно,13
детей,13
ребенка,13
развития,13
жизни,13
хочу,12
тех,12
правительства,12
всего,12
россия,11
причем,11
нам,11
значит,11
власти,11
лет,10
рублей,10
создать,10
государственной,10
время,10
наших,10
регионов,10
решения,10
могут,10
поддержки,9
внимание,9
очень,9
должен,9
тысяч,9
ответственность,9
нашей,9
российской,9
будут,9
выплаты,9
менее,8
просто,8
стране,8
семья,8
всей,8
прежде,8
вопрос,8
человека,8
люди,8
процентов,8
общества,8
правительство,8
числе,8
систему,8
работу,8
семей,7
случае,7
доходы,7
подчеркнуть,7
безусловно,7
повторю,7
право,7
получить,7
государства,7
обеспечить,7
роль,7
мест,7
такие,7
закрепить,7
здравоохранения,7
должна,7
необходимым,7
работы,7
территории,7
возможность,7
включая,6
нашего,6
особенно,6
минимума,6
возможности,6
целом,6
своей,6
второго,6
каждого,6
решение,6
происходит,6
изменения,6
федерального,6
должно,6
поэтому,6
сфере,6
развитие,6
условия,6
стать,6
вместе,6
десятилетия,6
января,6
страна,6
президента,6
мире,6
который,5
требования,5
председателя,5
требует,5
предстоит,5
тысячи,5
наша,5
которых,5
федеральных,5
прямо,5
некоторые,5
государство,5
изменений,5
хотел,5
социальной,5
думы,5
проекты,5
эта,5
качества,5
детьми,5
постоянно,5
часто,5
такая,5
мало,5
однако,5
системы,5
доходами,5
знаете,5
подчеркну,5
важно,5
обращаю,5
система,5
рождении,5
прожиточного,5
бизнеса,5
получать,5
федеральному,5
закон,5
регионах,5
годы,5
поддержать,5
задачи,5
сказал,5
необходимо,5
регионы,5
региональные,4
национального,4
взять,4
последние,4
поколений,4
народа,4
середине,4
регионе,4
конституционного,4
своих,4
права,4
отечественной,4
положение,4
трех,4
помощь,4
школы,4
объеме,4
оставаться,4
каждый,4
проблем,4
убежден,4
впервые,4
результат,4
программу,4
бюджета,4
обязательно,4
начать,4
смысл,4
новые,4
шаг,4
субъектах,4
граждане,4
совета,4
собой,4
будем,4
социального,4
процента,4
зале,4
инфраструктуру,4
могли,4
далее,4
наши,4
находится,4
руководители,4
ресурсы,4
зависит,4
человек,4
контракта,4
работать,4
меры,4
помощи,4
социальные,4
какими,4
интернет,4
проект,4
пять,4
имею,4
виду,4
поддержку,4
свой,4
цели,4
социальных,4
речь,4
доходов,4
современных,4
предусмотреть,4
учетом,4
инвестиций,4
повышения,4
потенциал,4
органов,4
идет,4
главное,4
собранию,4
задач,4
действительно,4
число,4
вновь,4
школах,4
вклад,3
вперед,3
нами,3
очередь,3
части,3
чьи,3
обязаны,3
оценкам,3
направлениям,3
будущему,3
нашему,3
труда,3
внедрять,3
проектов,3
основной,3
которыми,3
которой,3
текущего,3
ряд,3
сентября,3
доход,3
механизм,3
демографии,3
размер,3
каждом,3
средств,3
подготовки,3
работа,3
образования,3
должности,3
обеспечения,3
роста,3
реализация,3
практике,3
видим,3
независимость,3
порядок,3
ситуация,3
обществе,3
должность,3
обучения,3
экономику,3
судей,3
других,3
внести,3
педагогов,3
означает,3
доступ,3
практически,3
интересах,3
использовать,3
государственного,3
каждой,3
рамках,3
возрасте,3
среднем,3
нашем,3
одного,3
приема,3
работе,3
кардинально,3
поддержка,3
общество,3
думаю,3
скажу,3
которым,3
сразу,3
профессии,3
поправок,3
сферах,3
технологических,3
общественных,3
пока,3
многие,3
россией,3
школу,3
будущего,3
врачей,3
своим,3
детям,3
принципы,3
деятельности,3
согласен,3
молодых,3
счет,3
дополнительные,3
наступающего,3
ребенок,3
становится,3
школьников,3
уверен,3
населения,3
национальные,3
выйти,3
президент,3
работают,3
наш,3
угрозы,3
безопасности,3
международного,3
банка,3
итогам,3
ситуации,3
консультаций,3
знаю,3
резервы,3
обязанность,3
стал,3
большие,3
министров,3
условиях,3
уважения,3
уровня,3
объединений,3
многих,3
фактически,3
увеличивать,3
лекарств,3
представлению,3
великой,3
войны,3
образом,3
дальнейшем,3
новой,3
демографического,3
ускорить,3
двумя,3
свои,3
капитал,3
материнский,3
самых,3
политику,3
инфляция,3
идти,3
новых,3
аплодисменты,3
федеральные,3
регионального,3
миллионов,3
сколько,3
здравоохранении,3
ценности,3
пор,3
большую,3
основе,3
центров,3
этих,3
экономики,3
наладить,3
главы,3
часть,3
субъектов,3
десять,3
ввп,3
создали,3
послание,3
проблемы,3
законодательства,3
период,3
кредита,3
ответственности,3
такого,3
значение,3
приняли,3
программа,3
сталкивается,3
контроль,3
декабря,3
средства,3
помочь,3
регионам,3
уровне,3
материнского,3
людям,3
ветвями,2
можем,2
самые,2
появляется,2
предложения,2
прямое,2
полномочий,2
востоке,2
соответствующих,2
сформировать,2
территорий,2
политической,2
исполнительной,2
технологии,2
срок,2
запущена,2
обществу,2
полагают,2
напомню,2
образование,2
парламентом,2
сделает,2
ограничения,2
думе,2
